event_id,household,avatar_reputation,pressure_warning,care_reputation,boundary_reputation,propagated_story,later_social_consequence
1,Marketroof,0.56,0.169147,0.353512,0.42378,ordinary contact travels as neutral familiarity,household keeps ordinary distance
2,Quietledger,0.56,0.169378,0.353416,0.42474,ordinary contact travels as neutral familiarity,household keeps ordinary distance
3,Orchardring,0.56,0.169118,0.353512,0.42366,ordinary contact travels as neutral familiarity,household keeps ordinary distance
4,Rainloft,0.56,0.16932,0.353384,0.4245,ordinary contact travels as neutral familiarity,household keeps ordinary distance
5,Hearthnest,0.56,0.169277,0.353528,0.42432,ordinary contact travels as neutral familiarity,household keeps ordinary distance
6,Routehall,0.56,0.169248,0.353384,0.4242,ordinary contact travels as neutral familiarity,household keeps ordinary distance
7,Quietledger,0.58,0.158755,0.386832,0.42948,ordinary contact travels as neutral familiarity,household keeps ordinary distance
8,Orchardring,0.58,0.158237,0.386976,0.42732,ordinary contact travels as neutral familiarity,household keeps ordinary distance
9,Rainloft,0.58,0.15864,0.386768,0.429,ordinary contact travels as neutral familiarity,household keeps ordinary distance
10,Hearthnest,0.58,0.158554,0.386944,0.42864,ordinary contact travels as neutral familiarity,household keeps ordinary distance
11,Routehall,0.58,0.158496,0.386848,0.4284,ordinary contact travels as neutral familiarity,household keeps ordinary distance
12,Marketroof,0.58,0.158294,0.386896,0.42756,ordinary contact travels as neutral familiarity,household keeps ordinary distance
13,Orchardring,0.6,0.147355,0.420504,0.43098,avatar care travels as a help story,household allows warmer greeting
14,Rainloft,0.6,0.14796,0.420152,0.4335,avatar care travels as a help story,household allows warmer greeting
15,Hearthnest,0.6,0.14783,0.420456,0.43296,avatar care travels as a help story,household allows warmer greeting
16,Routehall,0.6,0.147744,0.420264,0.4326,avatar care travels as a help story,household allows warmer greeting
17,Marketroof,0.6,0.147442,0.420408,0.43134,avatar care travels as a help story,household allows warmer greeting
18,Quietledger,0.6,0.148133,0.420216,0.43422,avatar care travels as a help story,household allows warmer greeting
19,Rainloft,0.62,0.13728,0.453536,0.438,avatar care travels as a help story,household allows warmer greeting
20,Hearthnest,0.62,0.137107,0.45392,0.43728,avatar care travels as a help story,household allows warmer greeting
21,Routehall,0.62,0.136992,0.453728,0.4368,avatar care travels as a help story,household allows warmer greeting
22,Marketroof,0.62,0.136589,0.453824,0.43512,avatar care travels as a help story,household allows warmer greeting
23,Quietledger,0.62,0.13751,0.453632,0.43896,avatar care travels as a help story,household allows warmer greeting
24,Orchardring,0.62,0.136474,0.453888,0.43464,avatar care travels as a help story,household allows warmer greeting
25,Routehall,0.64,0.12624,0.487192,0.441,avatar care travels as a help story,household allows warmer greeting
26,Marketroof,0.64,0.125736,0.487288,0.4389,avatar care travels as a help story,household allows warmer greeting
27,Quietledger,0.64,0.126888,0.487048,0.4437,avatar care travels as a help story,household allows warmer greeting
28,Orchardring,0.64,0.125592,0.487304,0.4383,avatar care travels as a help story,household allows warmer greeting
29,Rainloft,0.64,0.1266,0.48692,0.4425,avatar care travels as a help story,household allows warmer greeting
30,Hearthnest,0.64,0.126384,0.487304,0.4416,avatar care travels as a help story,household allows warmer greeting
31,Routehall,0.66,0.115488,0.520656,0.4452,avatar care travels as a help story,household allows warmer greeting
32,Marketroof,0.66,0.114883,0.520752,0.44268,avatar care travels as a help story,household allows warmer greeting
33,Quietledger,0.66,0.116266,0.520464,0.44844,avatar care travels as a help story,household allows warmer greeting
34,Orchardring,0.66,0.11471,0.52072,0.44196,avatar care travels as a help story,household allows warmer greeting
35,Rainloft,0.66,0.11592,0.520304,0.447,avatar care travels as a help story,household allows warmer greeting
36,Hearthnest,0.66,0.115661,0.520688,0.44592,avatar care travels as a help story,household allows warmer greeting
37,Quietledger,0.642,0.156723,0.52468,0.49318,ordinary contact travels as neutral familiarity,household keeps ordinary distance
38,Orchardring,0.68,0.103829,0.554184,0.44562,avatar care travels as a help story,household allows warmer greeting
39,Rainloft,0.66,0.12132,0.525288,0.4515,ordinary contact travels as neutral familiarity,household keeps ordinary distance
40,Hearthnest,0.642,0.156018,0.525704,0.46024,ordinary contact travels as neutral familiarity,household keeps ordinary distance
41,Routehall,0.642,0.155816,0.52492,0.4894,ordinary contact travels as neutral familiarity,household keeps ordinary distance
42,Marketroof,0.68,0.10403,0.554136,0.44646,avatar care travels as a help story,household allows warmer greeting
43,Orchardring,0.662,0.144027,0.559312,0.45928,ordinary contact travels as neutral familiarity,household keeps ordinary distance
44,Rainloft,0.642,0.16172,0.529472,0.496,ordinary contact travels as neutral familiarity,household keeps ordinary distance
45,Hearthnest,0.662,0.145294,0.559216,0.46456,avatar care travels as a help story,household allows warmer greeting
46,Routehall,0.642,0.161144,0.529936,0.4936,ordinary contact travels as neutral familiarity,household keeps ordinary distance
47,Marketroof,0.662,0.144258,0.559248,0.46024,ordinary contact travels as neutral familiarity,household keeps ordinary distance
48,Quietledger,0.624,0.197181,0.528864,0.53792,ordinary contact travels as neutral familiarity,household keeps ordinary distance
49,Rainloft,0.642,0.16712,0.534456,0.5005,ordinary contact travels as neutral familiarity,household keeps ordinary distance
50,Hearthnest,0.644,0.185651,0.56428,0.47888,ordinary contact travels as neutral familiarity,household keeps ordinary distance
51,Routehall,0.624,0.201472,0.5342,0.5378,ordinary contact travels as neutral familiarity,household keeps ordinary distance
52,Marketroof,0.682,0.133405,0.592664,0.46402,avatar care travels as a help story,household allows warmer greeting
53,Quietledger,0.624,0.202638,0.53388,0.54266,ordinary contact travels as neutral familiarity,household keeps ordinary distance
54,Orchardring,0.644,0.184226,0.564296,0.47294,ordinary contact travels as neutral familiarity,household keeps ordinary distance
55,Routehall,0.644,0.19072,0.567664,0.542,avatar care travels as a help story,household allows warmer greeting
56,Marketroof,0.682,0.138632,0.597728,0.4678,ordinary contact travels as neutral familiarity,household keeps ordinary distance
57,Quietledger,0.606,0.243096,0.538896,0.5574,ordinary contact travels as neutral familiarity,household keeps ordinary distance
