tick,day,slot,selected_resident,vertical_slice_frame,arrival_movement_frame,bounded_conversation_frame,schedule_debt_memory_frame,offscreen_return_frame,visible_consequence_frame,save_restore_audit_replay_frame,usable_interface_frame,single_html_vertical_slice,all_systems_integrated
0,1,0,Tovan,0,0,0,0,0,0,0,0,True,True
1,1,1,Nia,1,1,1,1,1,1,1,1,True,True
2,1,2,Ari,2,2,2,2,2,2,2,2,True,True
3,1,3,Fay,3,3,3,3,3,3,3,3,True,True
4,1,4,Milo,4,4,4,4,4,4,4,4,True,True
5,1,5,Sera,5,5,5,5,5,5,5,5,True,True
6,1,6,Tovan,6,6,6,6,6,6,6,6,True,True
7,1,7,Nia,7,7,7,7,7,7,7,7,True,True
8,1,8,Ari,8,8,8,8,8,8,8,8,True,True
9,1,9,Fay,9,9,9,9,9,9,9,9,True,True
10,1,10,Milo,10,10,10,10,10,10,10,10,True,True
11,1,11,Sera,11,11,11,11,11,11,11,11,True,True
12,1,12,Tovan,12,12,12,12,12,12,12,12,True,True
13,1,13,Nia,13,13,13,13,13,13,13,13,True,True
14,1,14,Ari,14,14,14,14,14,14,14,14,True,True
15,1,15,Fay,15,15,15,15,15,15,15,15,True,True
16,1,16,Milo,16,16,16,16,16,16,16,16,True,True
17,1,17,Sera,17,17,17,17,17,17,17,17,True,True
18,2,0,Tovan,18,18,18,18,18,18,18,18,True,True
19,2,1,Nia,19,19,19,19,19,19,19,19,True,True
20,2,2,Ari,20,20,20,20,20,20,20,20,True,True
21,2,3,Fay,21,21,21,21,21,21,21,21,True,True
22,2,4,Milo,22,22,22,22,22,22,22,22,True,True
23,2,5,Sera,23,23,23,23,23,23,23,23,True,True
24,2,6,Tovan,24,24,24,24,24,24,24,24,True,True
25,2,7,Nia,25,25,25,25,25,25,25,25,True,True
26,2,8,Ari,26,26,26,26,26,26,26,26,True,True
27,2,9,Fay,27,27,27,27,27,27,27,27,True,True
28,2,10,Milo,28,28,28,28,28,28,28,28,True,True
29,2,11,Sera,29,29,29,29,29,29,29,29,True,True
30,2,12,Tovan,30,30,30,30,30,30,30,30,True,True
31,2,13,Nia,31,31,31,31,31,31,31,31,True,True
32,2,14,Ari,32,32,32,32,32,32,32,32,True,True
33,2,15,Fay,33,33,33,33,33,33,33,33,True,True
34,2,16,Milo,34,34,34,34,34,34,34,34,True,True
35,2,17,Sera,35,35,35,35,35,35,35,35,True,True
36,3,0,Tovan,36,36,36,36,36,36,36,36,True,True
37,3,1,Nia,37,37,37,37,37,37,37,37,True,True
38,3,2,Ari,38,38,38,38,38,38,38,38,True,True
39,3,3,Fay,39,39,39,39,39,39,39,39,True,True
40,3,4,Milo,40,40,40,40,40,40,40,40,True,True
41,3,5,Sera,41,41,41,41,41,41,41,41,True,True
42,3,6,Tovan,42,42,42,42,42,42,42,42,True,True
43,3,7,Nia,43,43,43,43,43,43,43,43,True,True
44,3,8,Ari,44,44,44,44,44,44,44,44,True,True
45,3,9,Fay,45,45,45,45,45,45,45,45,True,True
46,3,10,Milo,46,46,46,46,46,46,46,46,True,True
47,3,11,Sera,47,47,47,47,47,47,47,47,True,True
48,3,12,Tovan,48,48,48,48,48,48,48,48,True,True
49,3,13,Nia,49,49,49,49,49,49,49,49,True,True
50,3,14,Ari,50,50,50,50,50,50,50,50,True,True
51,3,15,Fay,51,51,51,51,51,51,51,51,True,True
52,3,16,Milo,52,52,52,52,52,52,52,52,True,True
53,3,17,Sera,53,53,53,53,53,53,53,53,True,True
54,4,0,Tovan,54,54,54,54,54,54,54,54,True,True
55,4,1,Nia,55,55,55,55,55,55,55,55,True,True
56,4,2,Ari,56,56,56,56,56,56,56,56,True,True
57,4,3,Fay,57,57,57,57,57,57,57,57,True,True
58,4,4,Milo,58,58,58,58,58,58,58,58,True,True
59,4,5,Sera,59,59,59,59,59,59,59,59,True,True
60,4,6,Tovan,60,60,60,60,60,60,60,60,True,True
61,4,7,Nia,61,61,61,61,61,61,61,61,True,True
62,4,8,Ari,62,62,62,62,62,62,62,62,True,True
63,4,9,Fay,63,63,63,63,63,63,63,63,True,True
64,4,10,Milo,64,64,64,64,64,64,64,64,True,True
65,4,11,Sera,65,65,65,65,65,65,65,65,True,True
66,4,12,Tovan,66,66,66,66,66,66,66,66,True,True
67,4,13,Nia,67,67,67,67,67,67,67,67,True,True
68,4,14,Ari,68,68,68,68,68,68,68,68,True,True
69,4,15,Fay,69,69,69,69,69,69,69,69,True,True
70,4,16,Milo,70,70,70,70,70,70,70,70,True,True
71,4,17,Sera,71,71,71,71,71,71,71,71,True,True
72,5,0,Tovan,72,72,72,72,72,72,72,72,True,True
73,5,1,Nia,73,73,73,73,73,73,73,73,True,True
74,5,2,Ari,74,74,74,74,74,74,74,74,True,True
75,5,3,Fay,75,75,75,75,75,75,75,75,True,True
76,5,4,Milo,76,76,76,76,76,76,76,76,True,True
77,5,5,Sera,77,77,77,77,77,77,77,77,True,True
78,5,6,Tovan,78,78,78,78,78,78,78,78,True,True
79,5,7,Nia,79,79,79,79,79,79,79,79,True,True
80,5,8,Ari,80,80,80,80,80,80,80,80,True,True
81,5,9,Fay,81,81,81,81,81,81,81,81,True,True
82,5,10,Milo,82,82,82,82,82,82,82,82,True,True
83,5,11,Sera,83,83,83,83,83,83,83,83,True,True
84,5,12,Tovan,84,84,84,84,84,84,84,84,True,True
85,5,13,Nia,85,85,85,85,85,85,85,85,True,True
86,5,14,Ari,86,86,86,86,86,86,86,86,True,True
87,5,15,Fay,87,87,87,87,87,87,87,87,True,True
88,5,16,Milo,88,88,88,88,88,88,88,88,True,True
89,5,17,Sera,89,89,89,89,89,89,89,89,True,True
90,6,0,Tovan,90,90,90,90,90,90,90,90,True,True
91,6,1,Nia,91,91,91,91,91,91,91,91,True,True
92,6,2,Ari,92,92,92,92,92,92,92,92,True,True
93,6,3,Fay,93,93,93,93,93,93,93,93,True,True
94,6,4,Milo,94,94,94,94,94,94,94,94,True,True
95,6,5,Sera,95,95,95,95,95,95,95,95,True,True
96,6,6,Tovan,96,96,96,96,96,96,96,96,True,True
97,6,7,Nia,97,97,97,97,97,97,97,97,True,True
98,6,8,Ari,98,98,98,98,98,98,98,98,True,True
99,6,9,Fay,99,99,99,99,99,99,99,99,True,True
100,6,10,Milo,100,100,100,100,100,100,100,100,True,True
101,6,11,Sera,101,101,101,101,101,101,101,101,True,True
