tick,day,absent_ticks,resident,offscreen_task,progress_before,progress_after,resource_delta,changed_without_avatar,visible_on_return
0,1,6,Tovan,carry water,0.027027,0.035027,0,True,True
1,1,7,Nia,dry cloaks,0.043856,0.051856,0,True,True
2,1,8,Ari,map safe route,0.045213,0.053213,0,True,True
3,1,9,Fay,rest after rain,0.029849,0.037849,0,True,True
4,1,10,Milo,recover focus,0.011891,0.019891,0,True,True
5,1,11,Sera,repair awning,0.007849,0.015849,0,True,True
6,1,12,Tovan,sort herbs,0.021439,0.029439,0,True,True
7,1,13,Nia,carry water,0.040167,0.048167,0,True,True
8,1,14,Ari,dry cloaks,0.046814,0.054814,0,True,True
9,1,15,Fay,map safe route,0.035269,0.043269,0,True,True
10,1,16,Milo,rest after rain,0.016147,0.024147,0,True,True
11,1,17,Sera,recover focus,0.007027,0.015027,0,True,True
12,1,18,Tovan,repair awning,0.016296,0.024296,0,True,True
13,1,19,Nia,sort herbs,0.03543,0.04343,0,True,True
14,1,20,Ari,carry water,0.046839,0.054839,0,True,True
15,1,21,Fay,dry cloaks,0.040033,0.048033,0,True,True
16,1,22,Milo,map safe route,0.021269,0.029269,0,True,True
17,1,23,Sera,rest after rain,0.007799,0.015799,0,True,True
18,2,24,Tovan,repair awning,0.054054,0.062054,0,True,True
19,2,25,Nia,sort herbs,0.070883,0.078883,0,True,True
20,2,26,Ari,carry water,0.07224,0.08024,0,True,True
21,2,27,Fay,dry cloaks,0.056876,0.064876,0,True,True
22,2,28,Milo,map safe route,0.038918,0.046918,0,True,True
23,2,29,Sera,rest after rain,0.034876,0.042876,0,True,True
24,2,30,Tovan,recover focus,0.048466,0.056466,0,True,True
25,2,31,Nia,repair awning,0.067194,0.075194,0,True,True
26,2,32,Ari,sort herbs,0.073841,0.081841,0,True,True
27,2,33,Fay,carry water,0.062296,0.070296,0,True,True
28,2,34,Milo,dry cloaks,0.043174,0.051174,0,True,True
29,2,35,Sera,map safe route,0.034054,0.042054,0,True,True
30,2,36,Tovan,rest after rain,0.043323,0.051323,0,True,True
31,2,6,Nia,recover focus,0.062457,0.070457,0,True,True
32,2,7,Ari,repair awning,0.073866,0.081866,0,True,True
33,2,8,Fay,sort herbs,0.06706,0.07506,0,True,True
34,2,9,Milo,carry water,0.048296,0.056296,0,True,True
35,2,10,Sera,dry cloaks,0.034826,0.042826,0,True,True
36,3,11,Tovan,rest after rain,0.081081,0.089081,0,True,True
37,3,12,Nia,recover focus,0.097911,0.105911,0,True,True
38,3,13,Ari,repair awning,0.099267,0.107267,0,True,True
39,3,14,Fay,sort herbs,0.083903,0.091903,0,True,True
40,3,15,Milo,carry water,0.065945,0.073945,0,True,True
41,3,16,Sera,dry cloaks,0.061903,0.069903,0,True,True
42,3,17,Tovan,map safe route,0.075493,0.083493,0,True,True
43,3,18,Nia,rest after rain,0.094221,0.102221,0,True,True
44,3,19,Ari,recover focus,0.100868,0.108868,0,True,True
45,3,20,Fay,repair awning,0.089323,0.097323,0,True,True
46,3,21,Milo,sort herbs,0.070201,0.078201,0,True,True
47,3,22,Sera,carry water,0.061081,0.069081,0,True,True
48,3,23,Tovan,dry cloaks,0.07035,0.07835,0,True,True
49,3,24,Nia,map safe route,0.089484,0.097484,0,True,True
50,3,25,Ari,rest after rain,0.100893,0.108893,0,True,True
51,3,26,Fay,recover focus,0.094087,0.102087,0,True,True
52,3,27,Milo,repair awning,0.075323,0.083323,0,True,True
53,3,28,Sera,sort herbs,0.061853,0.069853,0,True,True
54,4,29,Tovan,dry cloaks,0.108108,0.116108,0,True,True
55,4,30,Nia,map safe route,0.124938,0.132938,0,True,True
56,4,31,Ari,rest after rain,0.126294,0.134294,0,True,True
57,4,32,Fay,recover focus,0.110931,0.118931,0,True,True
58,4,33,Milo,repair awning,0.092972,0.100972,0,True,True
59,4,34,Sera,sort herbs,0.08893,0.09693,0,True,True
