tick,day,resident,schedule_before,schedule_after,debt_before,debt_after,trust_before,trust_after,memory_note,history_not_erased,non_magical_trust_repair
0,1,Tovan,sort herbs,carry water,0.56,0.558,0.357947,0.360947,enter linked to v60:tovan:water_carry:d001:s00; prehistory remains locked,True,True
1,1,Nia,carry water,dry cloaks,0.559885,0.557885,0.334549,0.352549,talk linked to v60:nia:repair_promise:d001:s01; prehistory remains locked,True,True
2,1,Ari,dry cloaks,map safe route,0.559539,0.537539,0.509775,0.527775,offer_help linked to v60:ari:missed_greeting:d001:s02; prehistory remains locked,True,True
3,1,Fay,map safe route,rest after rain,0.558963,0.536963,0.668665,0.686665,return_tool linked to v60:fay:care_favor:d001:s03; prehistory remains locked,True,True
4,1,Milo,rest after rain,recover focus,0.558157,0.556157,0.66814,0.67114,inspect_memory linked to v60:milo:route_warning:d001:s04; prehistory remains locked,True,True
5,1,Sera,recover focus,repair awning,0.557123,0.555123,0.516826,0.519826,enter linked to v60:sera:tool_loan:d001:s05; prehistory remains locked,True,True
6,1,Tovan,repair awning,sort herbs,0.55586,0.55386,0.374962,0.392962,talk linked to v60:tovan:water_carry:d001:s06; prehistory remains locked,True,True
7,1,Nia,sort herbs,carry water,0.554371,0.532371,0.333839,0.351839,offer_help linked to v60:nia:repair_promise:d001:s07; prehistory remains locked,True,True
8,1,Ari,carry water,dry cloaks,0.552657,0.530657,0.515299,0.533299,return_tool linked to v60:ari:missed_greeting:d001:s08; prehistory remains locked,True,True
9,1,Fay,dry cloaks,map safe route,0.55072,0.54872,0.656909,0.659909,inspect_memory linked to v60:fay:care_favor:d001:s09; prehistory remains locked,True,True
10,1,Milo,map safe route,rest after rain,0.54856,0.54656,0.660149,0.663149,enter linked to v60:milo:route_warning:d001:s10; prehistory remains locked,True,True
11,1,Sera,rest after rain,recover focus,0.546181,0.544181,0.524706,0.542706,talk linked to v60:sera:tool_loan:d001:s11; prehistory remains locked,True,True
12,1,Tovan,recover focus,repair awning,0.543585,0.521585,0.370562,0.388562,offer_help linked to v60:tovan:water_carry:d001:s12; prehistory remains locked,True,True
13,1,Nia,repair awning,sort herbs,0.540773,0.518773,0.341741,0.359741,return_tool linked to v60:nia:repair_promise:d001:s13; prehistory remains locked,True,True
14,1,Ari,sort herbs,carry water,0.53775,0.53575,0.526325,0.529325,inspect_memory linked to v60:ari:missed_greeting:d001:s14; prehistory remains locked,True,True
15,1,Fay,carry water,dry cloaks,0.534517,0.532517,0.677953,0.680953,enter linked to v60:fay:care_favor:d001:s15; prehistory remains locked,True,True
16,1,Milo,dry cloaks,map safe route,0.531078,0.529078,0.675237,0.693237,talk linked to v60:milo:route_warning:d001:s16; prehistory remains locked,True,True
17,1,Sera,map safe route,rest after rain,0.527437,0.505437,0.520148,0.538148,offer_help linked to v60:sera:tool_loan:d001:s17; prehistory remains locked,True,True
18,2,Tovan,recover focus,repair awning,0.523596,0.521596,0.369586,0.372586,inspect_memory linked to v60:tovan:repair_promise:d002:s00; prehistory remains locked,True,True
19,2,Nia,repair awning,sort herbs,0.519559,0.517559,0.351217,0.354217,enter linked to v60:nia:missed_greeting:d002:s01; prehistory remains locked,True,True
20,2,Ari,sort herbs,carry water,0.515331,0.513331,0.523187,0.541187,talk linked to v60:ari:care_favor:d002:s02; prehistory remains locked,True,True
21,2,Fay,carry water,dry cloaks,0.510915,0.488915,0.669265,0.687265,offer_help linked to v60:fay:route_warning:d002:s03; prehistory remains locked,True,True
22,2,Milo,dry cloaks,map safe route,0.506315,0.484315,0.662143,0.680143,return_tool linked to v60:milo:tool_loan:d002:s04; prehistory remains locked,True,True
23,2,Sera,map safe route,rest after rain,0.501537,0.499537,0.524183,0.527183,inspect_memory linked to v60:sera:water_carry:d002:s05; prehistory remains locked,True,True
24,2,Tovan,rest after rain,recover focus,0.496584,0.494584,0.362599,0.365599,enter linked to v60:tovan:repair_promise:d002:s06; prehistory remains locked,True,True
25,2,Nia,recover focus,repair awning,0.491461,0.489461,0.347318,0.365318,talk linked to v60:nia:missed_greeting:d002:s07; prehistory remains locked,True,True
26,2,Ari,repair awning,sort herbs,0.486174,0.464174,0.532242,0.550242,offer_help linked to v60:ari:care_favor:d002:s08; prehistory remains locked,True,True
27,2,Fay,sort herbs,carry water,0.480726,0.458726,0.669958,0.687958,return_tool linked to v60:fay:route_warning:d002:s09; prehistory remains locked,True,True
28,2,Milo,carry water,dry cloaks,0.475125,0.473125,0.675671,0.678671,inspect_memory linked to v60:milo:tool_loan:d002:s10; prehistory remains locked,True,True
29,2,Sera,dry cloaks,map safe route,0.469374,0.467374,0.513251,0.516251,enter linked to v60:sera:water_carry:d002:s11; prehistory remains locked,True,True
30,2,Tovan,map safe route,rest after rain,0.46348,0.46148,0.364205,0.382205,talk linked to v60:tovan:repair_promise:d002:s12; prehistory remains locked,True,True
31,2,Nia,rest after rain,recover focus,0.457448,0.435448,0.338082,0.356082,offer_help linked to v60:nia:missed_greeting:d002:s13; prehistory remains locked,True,True
32,2,Ari,recover focus,repair awning,0.451284,0.429284,0.536843,0.554843,return_tool linked to v60:ari:care_favor:d002:s14; prehistory remains locked,True,True
33,2,Fay,repair awning,sort herbs,0.444994,0.442994,0.682435,0.685435,inspect_memory linked to v60:fay:route_warning:d002:s15; prehistory remains locked,True,True
34,2,Milo,sort herbs,carry water,0.438583,0.436583,0.65762,0.66062,enter linked to v60:milo:tool_loan:d002:s16; prehistory remains locked,True,True
35,2,Sera,carry water,dry cloaks,0.432059,0.430059,0.508825,0.526825,talk linked to v60:sera:water_carry:d002:s17; prehistory remains locked,True,True
36,3,Tovan,map safe route,rest after rain,0.425427,0.403427,0.360339,0.378339,return_tool linked to v60:tovan:missed_greeting:d003:s00; prehistory remains locked,True,True
37,3,Nia,rest after rain,recover focus,0.418694,0.416694,0.354684,0.357684,inspect_memory linked to v60:nia:care_favor:d003:s01; prehistory remains locked,True,True
38,3,Ari,recover focus,repair awning,0.411866,0.409866,0.53317,0.53617,enter linked to v60:ari:route_warning:d003:s02; prehistory remains locked,True,True
39,3,Fay,repair awning,sort herbs,0.404949,0.402949,0.682034,0.700034,talk linked to v60:fay:tool_loan:d003:s03; prehistory remains locked,True,True
40,3,Milo,sort herbs,carry water,0.397951,0.375951,0.658276,0.676276,offer_help linked to v60:milo:water_carry:d003:s04; prehistory remains locked,True,True
41,3,Sera,carry water,dry cloaks,0.390878,0.368878,0.500964,0.518964,return_tool linked to v60:sera:repair_promise:d003:s05; prehistory remains locked,True,True
42,3,Tovan,dry cloaks,map safe route,0.383737,0.381737,0.347169,0.350169,inspect_memory linked to v60:tovan:missed_greeting:d003:s06; prehistory remains locked,True,True
43,3,Nia,map safe route,rest after rain,0.376535,0.374535,0.342861,0.345861,enter linked to v60:nia:care_favor:d003:s07; prehistory remains locked,True,True
44,3,Ari,rest after rain,recover focus,0.369278,0.367278,0.536172,0.554172,talk linked to v60:ari:route_warning:d003:s08; prehistory remains locked,True,True
45,3,Fay,recover focus,repair awning,0.361974,0.339974,0.674524,0.692524,offer_help linked to v60:fay:tool_loan:d003:s09; prehistory remains locked,True,True
46,3,Milo,repair awning,sort herbs,0.35463,0.33263,0.650082,0.668082,return_tool linked to v60:milo:water_carry:d003:s10; prehistory remains locked,True,True
47,3,Sera,sort herbs,carry water,0.347252,0.345252,0.509565,0.512565,inspect_memory linked to v60:sera:repair_promise:d003:s11; prehistory remains locked,True,True
48,3,Tovan,carry water,dry cloaks,0.339848,0.337848,0.364592,0.367592,enter linked to v60:tovan:missed_greeting:d003:s12; prehistory remains locked,True,True
49,3,Nia,dry cloaks,map safe route,0.332426,0.330426,0.340383,0.358383,talk linked to v60:nia:care_favor:d003:s13; prehistory remains locked,True,True
50,3,Ari,map safe route,rest after rain,0.324991,0.302991,0.531888,0.549888,offer_help linked to v60:ari:route_warning:d003:s14; prehistory remains locked,True,True
51,3,Fay,rest after rain,recover focus,0.317551,0.295551,0.680686,0.698686,return_tool linked to v60:fay:tool_loan:d003:s15; prehistory remains locked,True,True
52,3,Milo,recover focus,repair awning,0.310114,0.308114,0.666598,0.669598,inspect_memory linked to v60:milo:water_carry:d003:s16; prehistory remains locked,True,True
53,3,Sera,repair awning,sort herbs,0.302686,0.300686,0.516282,0.519282,enter linked to v60:sera:repair_promise:d003:s17; prehistory remains locked,True,True
54,4,Tovan,carry water,dry cloaks,0.295275,0.273275,0.351261,0.369261,offer_help linked to v60:tovan:care_favor:d004:s00; prehistory remains locked,True,True
55,4,Nia,dry cloaks,map safe route,0.287888,0.265888,0.343107,0.361107,return_tool linked to v60:nia:route_warning:d004:s01; prehistory remains locked,True,True
56,4,Ari,map safe route,rest after rain,0.280531,0.278531,0.55754,0.56054,inspect_memory linked to v60:ari:tool_loan:d004:s02; prehistory remains locked,True,True
57,4,Fay,rest after rain,recover focus,0.273213,0.271213,0.68191,0.68491,enter linked to v60:fay:water_carry:d004:s03; prehistory remains locked,True,True
