metric,value
report,300
seed,20270602
verdict,pass
readiness,0.949754
mean_channel_score,0.989077
weakest_channel_score,0.858
weakest_named_channel,first_vertical_slice_not_outsider_ready_product
vertical_slice_session_frames,5400
playable_arrival_movement_frames,5400
bounded_conversation_frames,5400
schedule_debt_memory_frames,5400
offscreen_return_frames,5400
visible_consequence_frames,5400
save_restore_audit_replay_frames,5400
usable_interface_frames,5400
browser_ticks,5400
browser_buttons,180
live_days,300
ticks_per_day,18
resident_count,6
core_loop_count,8
source_v59_continuity,1.0
single_artifact_vertical_slice,1.0
arrival_movement_playability,1.0
bounded_conversation_schedule_memory_binding,1.0
schedule_debt_memory_continuity,1.0
offscreen_life_visible_on_return,1.0
visible_consequence_recovery_loop,1.0
save_restore_audit_replay_pipeline,1.0
usable_interface_surface,1.0
private_workspace_boundary_preserved,1.0
browser_control_surface,1.0
no_llm_no_consciousness_boundary,1.0
first_vertical_slice_not_outsider_ready_product,0.858
