tick,day,slot,phase,avatar_room,selected_resident,user_action,schedule_state,memory_key,debt_name,visible_consequence,save_restore_key,audit_key,all_core_loops_present,boundary_visible
0,1,0,movement,tool alcove,Tovan,enter,carry water,v60:tovan:water_carry:d001:s00,water carry,state observed without history rewrite,ssrm:v60:snapshot:d001:t00000,audit:v60:tick:00000:resident:tovan,True,True
1,1,1,bounded conversation,rain court,Nia,talk,dry cloaks,v60:nia:repair_promise:d001:s01,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d001:t00001,audit:v60:tick:00001:resident:nia,True,True
2,1,2,schedule/debt,fiber loft,Ari,offer_help,map safe route,v60:ari:missed_greeting:d001:s02,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d001:t00002,audit:v60:tick:00002:resident:ari,True,True
3,1,3,offscreen,west hearth,Fay,return_tool,rest after rain,v60:fay:care_favor:d001:s03,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d001:t00003,audit:v60:tick:00003:resident:fay,True,True
4,1,4,consequence,river gate,Milo,inspect_memory,recover focus,v60:milo:route_warning:d001:s04,route warning,state observed without history rewrite,ssrm:v60:snapshot:d001:t00004,audit:v60:tick:00004:resident:milo,True,True
5,1,5,save/restore,arrival court,Sera,enter,repair awning,v60:sera:tool_loan:d001:s05,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d001:t00005,audit:v60:tick:00005:resident:sera,True,True
6,1,6,audit replay,tool alcove,Tovan,talk,sort herbs,v60:tovan:water_carry:d001:s06,water carry,state observed without history rewrite,ssrm:v60:snapshot:d001:t00006,audit:v60:tick:00006:resident:tovan,True,True
7,1,7,arrival,rain court,Nia,offer_help,carry water,v60:nia:repair_promise:d001:s07,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d001:t00007,audit:v60:tick:00007:resident:nia,True,True
8,1,8,movement,fiber loft,Ari,return_tool,dry cloaks,v60:ari:missed_greeting:d001:s08,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d001:t00008,audit:v60:tick:00008:resident:ari,True,True
9,1,9,bounded conversation,west hearth,Fay,inspect_memory,map safe route,v60:fay:care_favor:d001:s09,care favor,state observed without history rewrite,ssrm:v60:snapshot:d001:t00009,audit:v60:tick:00009:resident:fay,True,True
10,1,10,schedule/debt,river gate,Milo,enter,rest after rain,v60:milo:route_warning:d001:s10,route warning,state observed without history rewrite,ssrm:v60:snapshot:d001:t00010,audit:v60:tick:00010:resident:milo,True,True
11,1,11,offscreen,arrival court,Sera,talk,recover focus,v60:sera:tool_loan:d001:s11,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d001:t00011,audit:v60:tick:00011:resident:sera,True,True
12,1,12,consequence,tool alcove,Tovan,offer_help,repair awning,v60:tovan:water_carry:d001:s12,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d001:t00012,audit:v60:tick:00012:resident:tovan,True,True
13,1,13,save/restore,rain court,Nia,return_tool,sort herbs,v60:nia:repair_promise:d001:s13,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d001:t00013,audit:v60:tick:00013:resident:nia,True,True
14,1,14,audit replay,fiber loft,Ari,inspect_memory,carry water,v60:ari:missed_greeting:d001:s14,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d001:t00014,audit:v60:tick:00014:resident:ari,True,True
15,1,15,arrival,west hearth,Fay,enter,dry cloaks,v60:fay:care_favor:d001:s15,care favor,state observed without history rewrite,ssrm:v60:snapshot:d001:t00015,audit:v60:tick:00015:resident:fay,True,True
16,1,16,movement,river gate,Milo,talk,map safe route,v60:milo:route_warning:d001:s16,route warning,state observed without history rewrite,ssrm:v60:snapshot:d001:t00016,audit:v60:tick:00016:resident:milo,True,True
17,1,17,bounded conversation,arrival court,Sera,offer_help,rest after rain,v60:sera:tool_loan:d001:s17,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d001:t00017,audit:v60:tick:00017:resident:sera,True,True
