metric,value
report,301
seed,20270616
verdict,pass
readiness,0.94705
mean_channel_score,0.9835
weakest_channel_score,0.862
weakest_named_channel,not_runtime_browser_verified_yet
app_shell_files,6
playtest_tasks,10
mandatory_playtest_tasks,9
state_boundary_rules,9
direct_qa_hooks,6
hardening_criteria,8
generated_artifact_files,6
app_javascript_bytes,13708
app_css_bytes,2672
app_html_bytes,3577
source_v60_continuity,1.0
separate_app_shell_assets,1.0
playtest_tasks_present,1.0
direct_qa_hooks_present,1.0
state_boundaries_documented,1.0
reduced_artifact_sprawl,0.94
private_workspace_boundary,1.0
not_runtime_browser_verified_yet,0.862
app_shell_file_coverage,1.0
mandatory_playtest_coverage,1.0
qa_hook_browser_executable_coverage,1.0
state_boundary_private_workspace_hidden,1.0
