metric,value
report,302
seed,20270630
verdict,pass
readiness,0.952
mean_channel_score,0.988
weakest_channel_score,0.868
weakest_named_channel,single_browser_run_not_playtest_cohort
clicked_actions,17
interesting_events,13
runtime_fixes,4
qa_rows,10
qa_passes,10
replay_rows,20
resident_count,6
console_errors,0
source_v61_continuity,1.0
localhost_app_opened,1.0
core_action_sequence_completed,1.0
ask_schedule_runtime_control_present,1.0
playtest_checklist_passed,1.0
state_boundary_audit_passed,1.0
save_restore_smoke_passed,1.0
visible_consequence_loop_exercised,1.0
replay_export_prepared_without_download,1.0
no_console_errors,1.0
single_browser_run_not_playtest_cohort,0.868
