frame_id,generation,simulated_year,household,elder_cohort,child_cohort,lineage_memory_hash,inherited_story_count,inherited_token_count,inherited_ritual_count,avatar_legacy_charge,welfare_clause_strength
1,1,52,Hearthnest,Hearthnest-elder-g01,Hearthnest-child-g01,5f361899d797,7,3,3,0.428219,0.848
2,1,52,Routehall,Routehall-elder-g01,Routehall-child-g01,809e23c5f1a1,7,3,2,0.404359,0.8304
3,1,52,Marketroof,Marketroof-elder-g01,Marketroof-child-g01,e634bbb059fc,7,3,2,0.41417,0.8255
4,1,52,Quietledger,Quietledger-elder-g01,Quietledger-child-g01,dd347e0f6007,8,3,2,0.393444,0.8375
5,1,52,Orchardring,Orchardring-elder-g01,Orchardring-child-g01,feb79bb14daf,7,3,2,0.415441,0.8261
6,1,52,Rainloft,Rainloft-elder-g01,Rainloft-child-g01,ec6f0028a76b,8,3,2,0.401462,0.8345
7,2,104,Hearthnest,Hearthnest-elder-g02,Hearthnest-child-g02,aa85e1f69a20,8,3,3,0.402837,0.858
8,2,104,Routehall,Routehall-elder-g02,Routehall-child-g02,36fdf7dde3c8,8,3,2,0.370955,0.8404
9,2,104,Marketroof,Marketroof-elder-g02,Marketroof-child-g02,ddccede3e2ed,8,3,2,0.384756,0.8355
10,2,104,Quietledger,Quietledger-elder-g02,Quietledger-child-g02,7f7ecece4ef0,9,3,2,0.359387,0.8475
11,2,104,Orchardring,Orchardring-elder-g02,Orchardring-child-g02,7c80a332e760,8,3,2,0.387879,0.8361
12,2,104,Rainloft,Rainloft-elder-g02,Rainloft-child-g02,b8cba5c3b7c2,9,3,2,0.363459,0.8445
13,3,156,Hearthnest,Hearthnest-elder-g03,Hearthnest-child-g03,577dd02f2a67,9,4,3,0.37985,0.868
14,3,156,Routehall,Routehall-elder-g03,Routehall-child-g03,c243932c1871,9,4,2,0.338358,0.8504
15,3,156,Marketroof,Marketroof-elder-g03,Marketroof-child-g03,265082975cfa,9,4,2,0.355582,0.8455
16,3,156,Quietledger,Quietledger-elder-g03,Quietledger-child-g03,2c854362f6b6,10,4,2,0.331541,0.8575
17,3,156,Orchardring,Orchardring-elder-g03,Orchardring-child-g03,9fe467ac5401,9,4,2,0.363694,0.8461
18,3,156,Rainloft,Rainloft-elder-g03,Rainloft-child-g03,94ff475b8a6d,10,4,2,0.335194,0.8545
19,4,208,Hearthnest,Hearthnest-elder-g04,Hearthnest-child-g04,bb666898c1a9,10,4,4,0.354831,0.878
20,4,208,Routehall,Routehall-elder-g04,Routehall-child-g04,619a374d0792,10,4,3,0.31277,0.8604
21,4,208,Marketroof,Marketroof-elder-g04,Marketroof-child-g04,709d1873c009,10,4,3,0.327667,0.8555
22,4,208,Quietledger,Quietledger-elder-g04,Quietledger-child-g04,c9883b1c9bea,11,4,3,0.303694,0.8675
23,4,208,Orchardring,Orchardring-elder-g04,Orchardring-child-g04,c74fc35894f1,10,4,3,0.336696,0.8561
24,4,208,Rainloft,Rainloft-elder-g04,Rainloft-child-g04,45b07de7e03b,11,4,3,0.307004,0.8645
25,5,260,Hearthnest,Hearthnest-elder-g05,Hearthnest-child-g05,c2138f34e313,11,4,4,0.335356,0.888
26,5,260,Routehall,Routehall-elder-g05,Routehall-child-g05,8a99a6d67def,11,4,3,0.29073,0.8704
27,5,260,Marketroof,Marketroof-elder-g05,Marketroof-child-g05,4b59817e5d0b,11,4,3,0.302562,0.8655
28,5,260,Quietledger,Quietledger-elder-g05,Quietledger-child-g05,0306bcf24d96,12,4,3,0.279048,0.8775
29,5,260,Orchardring,Orchardring-elder-g05,Orchardring-child-g05,8f9c85544b23,11,4,3,0.311895,0.8661
30,5,260,Rainloft,Rainloft-elder-g05,Rainloft-child-g05,6b9bb4fae763,12,4,3,0.278557,0.8745
31,6,312,Hearthnest,Hearthnest-elder-g06,Hearthnest-child-g06,1da8cc6bfc25,12,5,4,0.311323,0.898
32,6,312,Routehall,Routehall-elder-g06,Routehall-child-g06,76ac1f3200b8,12,5,3,0.26528,0.8804
33,6,312,Marketroof,Marketroof-elder-g06,Marketroof-child-g06,8b07bcefa5a0,12,5,3,0.281756,0.8755
34,6,312,Quietledger,Quietledger-elder-g06,Quietledger-child-g06,b9e1495d5090,13,5,3,0.254967,0.8875
35,6,312,Orchardring,Orchardring-elder-g06,Orchardring-child-g06,b3efc0e2cb8c,12,5,3,0.291939,0.8761
36,6,312,Rainloft,Rainloft-elder-g06,Rainloft-child-g06,2af1c546823b,13,5,3,0.260364,0.8845
37,7,364,Hearthnest,Hearthnest-elder-g07,Hearthnest-child-g07,755750c55087,13,5,4,0.286896,0.908
38,7,364,Routehall,Routehall-elder-g07,Routehall-child-g07,a570290bfdc5,13,5,3,0.247275,0.8904
39,7,364,Marketroof,Marketroof-elder-g07,Marketroof-child-g07,5db00a903bfb,13,5,3,0.257522,0.8855
40,7,364,Quietledger,Quietledger-elder-g07,Quietledger-child-g07,81b2bf46503c,14,5,3,0.232513,0.8975
41,7,364,Orchardring,Orchardring-elder-g07,Orchardring-child-g07,e6b38ffeb982,13,5,3,0.270769,0.8861
42,7,364,Rainloft,Rainloft-elder-g07,Rainloft-child-g07,09fd6d0f0678,14,5,3,0.238142,0.8945
43,8,416,Hearthnest,Hearthnest-elder-g08,Hearthnest-child-g08,478cdbd36216,14,5,5,0.265485,0.918
44,8,416,Routehall,Routehall-elder-g08,Routehall-child-g08,85001db07deb,14,5,4,0.230878,0.9004
45,8,416,Marketroof,Marketroof-elder-g08,Marketroof-child-g08,7fc52faab503,14,5,4,0.239019,0.8955
46,8,416,Quietledger,Quietledger-elder-g08,Quietledger-child-g08,11b120e398f2,15,5,4,0.216704,0.9075
47,8,416,Orchardring,Orchardring-elder-g08,Orchardring-child-g08,cf0ca7293110,14,5,4,0.255599,0.8961
48,8,416,Rainloft,Rainloft-elder-g08,Rainloft-child-g08,b7c4b3a5a9f3,15,5,4,0.214876,0.9045
49,9,468,Hearthnest,Hearthnest-elder-g09,Hearthnest-child-g09,ca0cb928ef37,15,6,5,0.244541,0.928
50,9,468,Routehall,Routehall-elder-g09,Routehall-child-g09,2a1b408a8c0a,15,6,4,0.209179,0.9104
51,9,468,Marketroof,Marketroof-elder-g09,Marketroof-child-g09,88395d819e4f,15,6,4,0.220546,0.9055
52,9,468,Quietledger,Quietledger-elder-g09,Quietledger-child-g09,4c53b755cb5e,16,6,4,0.196083,0.9175
53,9,468,Orchardring,Orchardring-elder-g09,Orchardring-child-g09,0ec80187abb2,15,6,4,0.236185,0.9061
54,9,468,Rainloft,Rainloft-elder-g09,Rainloft-child-g09,1d17f500d219,16,6,4,0.193818,0.9145
55,10,520,Hearthnest,Hearthnest-elder-g10,Hearthnest-child-g10,bd456f7da4c5,16,6,5,0.229649,0.938
56,10,520,Routehall,Routehall-elder-g10,Routehall-child-g10,ce8ec4321fd9,16,6,4,0.19415,0.9204
57,10,520,Marketroof,Marketroof-elder-g10,Marketroof-child-g10,d0c09744724a,16,6,4,0.208476,0.9155
58,10,520,Quietledger,Quietledger-elder-g10,Quietledger-child-g10,b501e593cacb,17,6,4,0.182297,0.9275
59,10,520,Orchardring,Orchardring-elder-g10,Orchardring-child-g10,fd0d5a553905,16,6,4,0.226601,0.9161
60,10,520,Rainloft,Rainloft-elder-g10,Rainloft-child-g10,277e2524cf97,17,6,4,0.183452,0.9245
61,11,572,Hearthnest,Hearthnest-elder-g11,Hearthnest-child-g11,e59ea5912711,17,6,5,0.213858,0.948
62,11,572,Routehall,Routehall-elder-g11,Routehall-child-g11,f0737303b5f9,17,6,4,0.183591,0.9304
63,11,572,Marketroof,Marketroof-elder-g11,Marketroof-child-g11,0822c72e656a,17,6,4,0.198608,0.9255
64,11,572,Quietledger,Quietledger-elder-g11,Quietledger-child-g11,e695dc188872,18,6,4,0.16428,0.9375
65,11,572,Orchardring,Orchardring-elder-g11,Orchardring-child-g11,dfaa2f53c42b,17,6,4,0.217581,0.9261
66,11,572,Rainloft,Rainloft-elder-g11,Rainloft-child-g11,bcceb5fdd065,18,6,4,0.169922,0.9345
67,12,624,Hearthnest,Hearthnest-elder-g12,Hearthnest-child-g12,ee961add3407,18,7,6,0.199988,0.958
68,12,624,Routehall,Routehall-elder-g12,Routehall-child-g12,3b1b2ca6e5e1,18,7,5,0.175291,0.9404
69,12,624,Marketroof,Marketroof-elder-g12,Marketroof-child-g12,faed1833b235,18,7,5,0.183582,0.9355
70,12,624,Quietledger,Quietledger-elder-g12,Quietledger-child-g12,e5660825bc3b,19,7,5,0.150156,0.9475
71,12,624,Orchardring,Orchardring-elder-g12,Orchardring-child-g12,52a243d6a7e8,18,7,5,0.20241,0.9361
72,12,624,Rainloft,Rainloft-elder-g12,Rainloft-child-g12,4fe62020b70d,19,7,5,0.162954,0.9445
73,13,676,Hearthnest,Hearthnest-elder-g13,Hearthnest-child-g13,13baf1c301d6,19,7,6,0.193084,0.968
74,13,676,Routehall,Routehall-elder-g13,Routehall-child-g13,ca865a229361,19,7,5,0.164178,0.9504
75,13,676,Marketroof,Marketroof-elder-g13,Marketroof-child-g13,cbaf5e89fda1,19,7,5,0.178412,0.9455
76,13,676,Quietledger,Quietledger-elder-g13,Quietledger-child-g13,45ce7c6ced84,20,7,5,0.143806,0.9575
77,13,676,Orchardring,Orchardring-elder-g13,Orchardring-child-g13,be6b4dfa263b,19,7,5,0.194894,0.9461
78,13,676,Rainloft,Rainloft-elder-g13,Rainloft-child-g13,9fd75f63f6d7,20,7,5,0.147073,0.9545
79,14,728,Hearthnest,Hearthnest-elder-g14,Hearthnest-child-g14,cc43fc9992cd,20,7,6,0.181867,0.978
80,14,728,Routehall,Routehall-elder-g14,Routehall-child-g14,c9054425360d,20,7,5,0.155053,0.9604
81,14,728,Marketroof,Marketroof-elder-g14,Marketroof-child-g14,0f34da2d053a,20,7,5,0.166083,0.9555
