frame_id,generation,household,memory_type,memory_sentence,elder_source,child_receiver,trust_charge,caution_charge,gratitude_charge,recall_probability
1,1,Hearthnest,avatar_care,Hearthnest remembers help as welcome only when boundaries are kept.,Hearthnest-elder-g01,Hearthnest-child-g01,0.6044,0.3816,0.476,0.8422
1,1,Hearthnest,boundary_warning,Hearthnest teaches that pressure must be answered with a pause.,Hearthnest-elder-g01,Hearthnest-child-g01,0.5644,0.4416,0.426,0.8582
1,1,Hearthnest,ritual_origin,Hearthnest keeps the old rhythm but lets children vary it safely.,Hearthnest-elder-g01,Hearthnest-child-g01,0.5644,0.3816,0.426,0.8782
1,1,Hearthnest,sleep_protection,Hearthnest protects sleep before work or avatar requests.,Hearthnest-elder-g01,Hearthnest-child-g01,0.5644,0.3816,0.476,0.8982
2,1,Routehall,avatar_care,Routehall remembers help as welcome only when boundaries are kept.,Routehall-elder-g01,Routehall-child-g01,0.5692,0.378,0.443,0.836568
2,1,Routehall,boundary_warning,Routehall teaches that pressure must be answered with a pause.,Routehall-elder-g01,Routehall-child-g01,0.5292,0.438,0.393,0.852568
2,1,Routehall,ritual_origin,Routehall keeps the old rhythm but lets children vary it safely.,Routehall-elder-g01,Routehall-child-g01,0.5292,0.378,0.393,0.872568
2,1,Routehall,sleep_protection,Routehall protects sleep before work or avatar requests.,Routehall-elder-g01,Routehall-child-g01,0.5292,0.378,0.443,0.892568
3,1,Marketroof,avatar_care,Marketroof remembers help as welcome only when boundaries are kept.,Marketroof-elder-g01,Marketroof-child-g01,0.5756,0.3654,0.449,0.83662
3,1,Marketroof,boundary_warning,Marketroof teaches that pressure must be answered with a pause.,Marketroof-elder-g01,Marketroof-child-g01,0.5356,0.4254,0.399,0.85262
3,1,Marketroof,ritual_origin,Marketroof keeps the old rhythm but lets children vary it safely.,Marketroof-elder-g01,Marketroof-child-g01,0.5356,0.3654,0.399,0.87262
3,1,Marketroof,sleep_protection,Marketroof protects sleep before work or avatar requests.,Marketroof-elder-g01,Marketroof-child-g01,0.5356,0.3654,0.449,0.89262
4,1,Quietledger,avatar_care,Quietledger remembers help as welcome only when boundaries are kept.,Quietledger-elder-g01,Quietledger-child-g01,0.5628,0.3942,0.437,0.83678
4,1,Quietledger,boundary_warning,Quietledger teaches that pressure must be answered with a pause.,Quietledger-elder-g01,Quietledger-child-g01,0.5228,0.4542,0.387,0.85278
4,1,Quietledger,ritual_origin,Quietledger keeps the old rhythm but lets children vary it safely.,Quietledger-elder-g01,Quietledger-child-g01,0.5228,0.3942,0.387,0.87278
4,1,Quietledger,sleep_protection,Quietledger protects sleep before work or avatar requests.,Quietledger-elder-g01,Quietledger-child-g01,0.5228,0.3942,0.437,0.89278
5,1,Orchardring,avatar_care,Orchardring remembers help as welcome only when boundaries are kept.,Orchardring-elder-g01,Orchardring-child-g01,0.582,0.3618,0.455,0.837332
5,1,Orchardring,boundary_warning,Orchardring teaches that pressure must be answered with a pause.,Orchardring-elder-g01,Orchardring-child-g01,0.542,0.4218,0.405,0.853332
5,1,Orchardring,ritual_origin,Orchardring keeps the old rhythm but lets children vary it safely.,Orchardring-elder-g01,Orchardring-child-g01,0.542,0.3618,0.405,0.873332
5,1,Orchardring,sleep_protection,Orchardring protects sleep before work or avatar requests.,Orchardring-elder-g01,Orchardring-child-g01,0.542,0.3618,0.455,0.893332
6,1,Rainloft,avatar_care,Rainloft remembers help as welcome only when boundaries are kept.,Rainloft-elder-g01,Rainloft-child-g01,0.566,0.387,0.44,0.83674
6,1,Rainloft,boundary_warning,Rainloft teaches that pressure must be answered with a pause.,Rainloft-elder-g01,Rainloft-child-g01,0.526,0.447,0.39,0.85274
6,1,Rainloft,ritual_origin,Rainloft keeps the old rhythm but lets children vary it safely.,Rainloft-elder-g01,Rainloft-child-g01,0.526,0.387,0.39,0.87274
6,1,Rainloft,sleep_protection,Rainloft protects sleep before work or avatar requests.,Rainloft-elder-g01,Rainloft-child-g01,0.526,0.387,0.44,0.89274
7,2,Hearthnest,avatar_care,Hearthnest remembers help as welcome only when boundaries are kept.,Hearthnest-elder-g02,Hearthnest-child-g02,0.6144,0.3936,0.476,0.8444
7,2,Hearthnest,boundary_warning,Hearthnest teaches that pressure must be answered with a pause.,Hearthnest-elder-g02,Hearthnest-child-g02,0.5744,0.4536,0.426,0.8604
7,2,Hearthnest,ritual_origin,Hearthnest keeps the old rhythm but lets children vary it safely.,Hearthnest-elder-g02,Hearthnest-child-g02,0.5744,0.3936,0.426,0.8804
7,2,Hearthnest,sleep_protection,Hearthnest protects sleep before work or avatar requests.,Hearthnest-elder-g02,Hearthnest-child-g02,0.5744,0.3936,0.476,0.9004
8,2,Routehall,avatar_care,Routehall remembers help as welcome only when boundaries are kept.,Routehall-elder-g02,Routehall-child-g02,0.5792,0.39,0.443,0.838768
8,2,Routehall,boundary_warning,Routehall teaches that pressure must be answered with a pause.,Routehall-elder-g02,Routehall-child-g02,0.5392,0.45,0.393,0.854768
8,2,Routehall,ritual_origin,Routehall keeps the old rhythm but lets children vary it safely.,Routehall-elder-g02,Routehall-child-g02,0.5392,0.39,0.393,0.874768
8,2,Routehall,sleep_protection,Routehall protects sleep before work or avatar requests.,Routehall-elder-g02,Routehall-child-g02,0.5392,0.39,0.443,0.894768
9,2,Marketroof,avatar_care,Marketroof remembers help as welcome only when boundaries are kept.,Marketroof-elder-g02,Marketroof-child-g02,0.5856,0.3774,0.449,0.83882
9,2,Marketroof,boundary_warning,Marketroof teaches that pressure must be answered with a pause.,Marketroof-elder-g02,Marketroof-child-g02,0.5456,0.4374,0.399,0.85482
9,2,Marketroof,ritual_origin,Marketroof keeps the old rhythm but lets children vary it safely.,Marketroof-elder-g02,Marketroof-child-g02,0.5456,0.3774,0.399,0.87482
9,2,Marketroof,sleep_protection,Marketroof protects sleep before work or avatar requests.,Marketroof-elder-g02,Marketroof-child-g02,0.5456,0.3774,0.449,0.89482
10,2,Quietledger,avatar_care,Quietledger remembers help as welcome only when boundaries are kept.,Quietledger-elder-g02,Quietledger-child-g02,0.5728,0.4062,0.437,0.83898
10,2,Quietledger,boundary_warning,Quietledger teaches that pressure must be answered with a pause.,Quietledger-elder-g02,Quietledger-child-g02,0.5328,0.4662,0.387,0.85498
10,2,Quietledger,ritual_origin,Quietledger keeps the old rhythm but lets children vary it safely.,Quietledger-elder-g02,Quietledger-child-g02,0.5328,0.4062,0.387,0.87498
10,2,Quietledger,sleep_protection,Quietledger protects sleep before work or avatar requests.,Quietledger-elder-g02,Quietledger-child-g02,0.5328,0.4062,0.437,0.89498
11,2,Orchardring,avatar_care,Orchardring remembers help as welcome only when boundaries are kept.,Orchardring-elder-g02,Orchardring-child-g02,0.592,0.3738,0.455,0.839532
11,2,Orchardring,boundary_warning,Orchardring teaches that pressure must be answered with a pause.,Orchardring-elder-g02,Orchardring-child-g02,0.552,0.4338,0.405,0.855532
11,2,Orchardring,ritual_origin,Orchardring keeps the old rhythm but lets children vary it safely.,Orchardring-elder-g02,Orchardring-child-g02,0.552,0.3738,0.405,0.875532
11,2,Orchardring,sleep_protection,Orchardring protects sleep before work or avatar requests.,Orchardring-elder-g02,Orchardring-child-g02,0.552,0.3738,0.455,0.895532
12,2,Rainloft,avatar_care,Rainloft remembers help as welcome only when boundaries are kept.,Rainloft-elder-g02,Rainloft-child-g02,0.576,0.399,0.44,0.83894
12,2,Rainloft,boundary_warning,Rainloft teaches that pressure must be answered with a pause.,Rainloft-elder-g02,Rainloft-child-g02,0.536,0.459,0.39,0.85494
12,2,Rainloft,ritual_origin,Rainloft keeps the old rhythm but lets children vary it safely.,Rainloft-elder-g02,Rainloft-child-g02,0.536,0.399,0.39,0.87494
12,2,Rainloft,sleep_protection,Rainloft protects sleep before work or avatar requests.,Rainloft-elder-g02,Rainloft-child-g02,0.536,0.399,0.44,0.89494
13,3,Hearthnest,avatar_care,Hearthnest remembers help as welcome only when boundaries are kept.,Hearthnest-elder-g03,Hearthnest-child-g03,0.6244,0.4056,0.476,0.8466
13,3,Hearthnest,boundary_warning,Hearthnest teaches that pressure must be answered with a pause.,Hearthnest-elder-g03,Hearthnest-child-g03,0.5844,0.4656,0.426,0.8626
13,3,Hearthnest,ritual_origin,Hearthnest keeps the old rhythm but lets children vary it safely.,Hearthnest-elder-g03,Hearthnest-child-g03,0.5844,0.4056,0.426,0.8826
13,3,Hearthnest,sleep_protection,Hearthnest protects sleep before work or avatar requests.,Hearthnest-elder-g03,Hearthnest-child-g03,0.5844,0.4056,0.476,0.9026
14,3,Routehall,avatar_care,Routehall remembers help as welcome only when boundaries are kept.,Routehall-elder-g03,Routehall-child-g03,0.5892,0.402,0.443,0.840968
14,3,Routehall,boundary_warning,Routehall teaches that pressure must be answered with a pause.,Routehall-elder-g03,Routehall-child-g03,0.5492,0.462,0.393,0.856968
14,3,Routehall,ritual_origin,Routehall keeps the old rhythm but lets children vary it safely.,Routehall-elder-g03,Routehall-child-g03,0.5492,0.402,0.393,0.876968
14,3,Routehall,sleep_protection,Routehall protects sleep before work or avatar requests.,Routehall-elder-g03,Routehall-child-g03,0.5492,0.402,0.443,0.896968
15,3,Marketroof,avatar_care,Marketroof remembers help as welcome only when boundaries are kept.,Marketroof-elder-g03,Marketroof-child-g03,0.5956,0.3894,0.449,0.84102
