frame_id,generation,checkpoint_id,import_hash,export_hash,restore_verified,carried_lineage_rows,durable_keys
1,1,r246-gen01-Hearthnest,4d9b3f9d49480a66,4d9b3f9d49480a66,True,1,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
2,1,,pending,5cbe2703e334385c,False,2,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
3,1,,pending,752f86feacdfe7f9,False,3,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
4,1,,pending,e9b4a1fd816dfc5e,False,4,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
5,1,,pending,634fe641681d58b4,False,5,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
6,1,,pending,9785432406e38948,False,6,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
7,2,,pending,a21e11f517cc8059,False,7,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
8,2,,pending,99faef1c7e45a910,False,8,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
9,2,,pending,6be534d7aa421f50,False,9,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
10,2,,pending,e784b3809f0c2a7c,False,10,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
11,2,,pending,1b51e83f680889c9,False,11,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
12,2,,pending,5aa3bf069e44dafe,False,12,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
13,3,,pending,77d0a1f3eabf028a,False,13,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
14,3,,pending,3bb1946477e5020c,False,14,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
15,3,,pending,b09ffc0df587d774,False,15,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
16,3,,pending,2f527bf92511ad9c,False,16,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
17,3,,pending,c6dd2e6dd6e904d7,False,17,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
18,3,r246-gen03-Rainloft,b3d3b7fe4b133879,b3d3b7fe4b133879,True,18,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
19,4,,pending,f41e9f9babf23a47,False,19,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
20,4,,pending,9ed09020ae5daa6e,False,20,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
21,4,,pending,1d7613ddac9f7639,False,21,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
22,4,,pending,205c9a9ac67216ce,False,22,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
23,4,,pending,4e2cf175f9fb4ffe,False,23,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
24,4,,pending,cf47cff61ef209d2,False,24,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
25,5,,pending,0fa2a06dd8f98261,False,25,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
26,5,,pending,4495f5bb8b181643,False,26,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
27,5,,pending,8e6cc7c3bdf1e4a6,False,27,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
28,5,,pending,42b301a0ed7a8cae,False,28,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
29,5,,pending,2826c2f8f7bd1001,False,29,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
30,5,,pending,adf681aa69d4e731,False,30,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
31,6,,pending,91950eb930287123,False,31,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
32,6,,pending,83bed58ea09b1ac1,False,32,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
33,6,,pending,72b2ca2696c10bf0,False,33,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
34,6,,pending,07c2260759362262,False,34,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
35,6,,pending,8a2cf3a59c21a287,False,35,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
36,6,r246-gen06-Rainloft,feb8c7145b35809f,feb8c7145b35809f,True,36,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
37,7,,pending,067cca83fa69b2fa,False,37,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
38,7,,pending,0e8d78d4b6b9c65c,False,38,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
39,7,,pending,b8fa959f9de1a1b3,False,39,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
40,7,,pending,fb099732854b400e,False,40,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
41,7,,pending,d5cf592acb0e9e17,False,41,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
42,7,,pending,e26fb7fa46577ce8,False,42,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
43,8,,pending,53b9cbd93c3901a0,False,43,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
44,8,,pending,eae04f44e22ac417,False,44,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
45,8,,pending,2e6dd38c4b65cb7e,False,45,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
46,8,,pending,85008161d1739a42,False,46,"lineage,child_learning,cultural_inheritance,lineage_memory,avatar_legacy,welfare,replay"
