epoch_index,year_start,year_end,years_compressed,generations_spanned,climate_phase,population_estimate,active_lineages,compression_hash,epoch_pressure,welfare_floor,flower_phase_deg
1,0,50,50,2,mild growth,203,6,b0282d9b6e9413,0.183762,0.761254,147.007764
2,50,100,50,2,wet cold,226,6,4c05b8dc7f40ee,0.337034,0.744821,294.015528
3,100,150,50,2,market expansion,249,6,b7ab99c0086908,0.212524,0.755445,81.023292
4,150,200,50,2,dry repair years,272,6,a43a13ebf99753,0.214719,0.752699,228.031056
5,200,250,50,2,ritual consolidation,294,6,cc4303b4019b99,0.231955,0.787781,15.03882
6,250,300,50,2,storm memory,317,6,f5246152ef0d38,0.379032,0.72925,162.046584
7,300,350,50,2,mild growth,339,6,d80cd659fc3ad0,0.240858,0.738663,309.054348
8,350,400,50,2,wet cold,360,6,3a7a41147abdb0,0.390831,0.718733,96.062112
9,400,450,50,2,market expansion,381,6,f5f64e0fcf3b37,0.265608,0.725857,243.069876
10,450,500,50,2,dry repair years,402,6,77596c1ab8beaa,0.253722,0.721248,30.07764
11,500,550,50,2,ritual consolidation,422,6,0d66e95539aed7,0.262977,0.754196,177.085404
12,550,600,50,2,storm memory,441,6,9eb62f1c21f261,0.392056,0.694909,324.093168
13,600,650,50,2,mild growth,460,6,c220380916d6ff,0.257176,0.701843,111.100932
14,650,700,50,2,wet cold,479,6,706ab4e0d29430,0.393666,0.681548,258.108696
15,700,750,50,2,market expansion,497,6,26bf69fbca964e,0.250382,0.689218,45.11646
16,750,800,50,2,dry repair years,514,6,66a1952cc3ec05,0.249323,0.682737,192.124224
17,800,850,50,2,ritual consolidation,531,6,194f9d8cbcdfed,0.222582,0.718976,339.131988
18,850,900,50,2,storm memory,548,6,5b22a0b29a1ae2,0.365049,0.658526,126.139752
19,900,950,50,2,mild growth,564,6,e8346c9618a4f6,0.220051,0.66713,273.147516
20,950,1000,50,2,wet cold,580,6,d0886153a3d985,0.347819,0.648839,60.15528
21,1000,1050,50,2,market expansion,595,6,c0797d8f9db5d8,0.198243,0.65873,207.163044
22,1050,1100,50,2,dry repair years,610,6,d4b491b45ccc89,0.173322,0.656667,354.170808
23,1100,1150,50,2,ritual consolidation,625,6,8fa6e79727525b,0.167316,0.69328,141.178572
24,1150,1200,50,2,storm memory,640,6,fdcffe85fdd3fe,0.292146,0.637426,288.186336
25,1200,1250,50,2,mild growth,655,6,bc1ec16f126121,0.141555,0.649772,75.1941
26,1250,1300,50,2,wet cold,670,6,1187da29eeaf61,0.266761,0.63523,222.201864
27,1300,1350,50,2,market expansion,685,6,169cdeb6469020,0.12271,0.648329,9.209628
28,1350,1400,50,2,dry repair years,700,6,9fca6f5536e737,0.118952,0.648133,156.217392
