tick,command,from_place,to_place,avatar_x,avatar_y,body_energy,wetness,temperature,breath_rate,proximity_agent,ceremony_distance,collision_boundary,sensory_packet,movement_hash
1,wait,Outer Quiet,Outer Quiet,8.123896,48.333958,0.92492,0.18,0.52,0.250918,Keth,42.257687,clear,sound=distant bell harmonics; smell=cold clay and rain fern; temp=0.52; wet=0.18; pulse=2.31Hz,2f1ce77857aa6c6b
2,forward,Outer Quiet,Gate Ring,24.475335,47.533334,0.9096,0.22,0.56,0.257488,Keth,26.33109,clear,sound=six lineage pulses; smell=stone dust and warm oil; temp=0.56; wet=0.22; pulse=2.17Hz,399f01e032324f43
3,right,Gate Ring,Market Measure,61.998416,50.953462,0.89488,0.12,0.61,0.252726,Melo,12.379151,clear,sound=measured token clicks; smell=grain chalk and bright copper; temp=0.61; wet=0.12; pulse=2.06Hz,c368b5d2e6133d69
4,forward,Market Measure,Rainwalk Threshold,76.58495,71.925137,0.87782,0.51,0.48,0.28768,Vonn,32.063532,clear,sound=weather bells; smell=wet wool and river stone; temp=0.48; wet=0.51; pulse=2.47Hz,e87e043696e52a3c
5,inspect,Rainwalk Threshold,Rainwalk Threshold,77.325108,71.268525,0.86876,0.51,0.48,0.289673,Vonn,32.324348,clear,sound=weather bells; smell=wet wool and river stone; temp=0.48; wet=0.51; pulse=2.12Hz,5656a7d7d00f2efd
6,left,Rainwalk Threshold,Rainwalk Threshold,76.867472,72.145974,0.8517,0.51,0.48,0.293426,Vonn,32.42125,clear,sound=weather bells; smell=wet wool and river stone; temp=0.48; wet=0.51; pulse=2.40Hz,eb826d4e59086315
7,forward,Rainwalk Threshold,Ceremony Center,50.247539,53.850464,0.83674,0.16,0.63,0.268717,Ori,0.2892,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,9b0c7dfae74401c1
8,ask,Ceremony Center,Ceremony Center,50.174034,54.211515,0.82978,0.16,0.63,0.270248,Ori,0.27391,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,a143856d7b8687f8
9,offer_help,Ceremony Center,Ceremony Center,50.575839,54.110989,0.82282,0.16,0.63,0.27178,Ori,0.586438,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,1be21b2dd10dfcfd
10,back,Ceremony Center,Rainwalk Threshold,76.414749,71.541075,0.80576,0.51,0.48,0.303533,Vonn,31.708489,clear,sound=weather bells; smell=wet wool and river stone; temp=0.48; wet=0.51; pulse=2.31Hz,6d99547d783c4ede
11,forward,Rainwalk Threshold,Ceremony Center,49.421487,53.369221,0.7908,0.16,0.63,0.278824,Ori,0.855897,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,e4ffc4af8476d023
12,ceremony,Ceremony Center,Ceremony Center,49.852831,53.431249,0.78384,0.16,0.63,0.280355,Ori,0.587483,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.06Hz,8de525546326ad2d
13,wait,Ceremony Center,Ceremony Center,50.23014,53.712223,0.78888,0.16,0.63,0.279246,Ori,0.368483,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.47Hz,5aa5bf0f1093f06c
14,forward,Ceremony Center,Ceremony Center,50.790688,54.195376,0.77392,0.16,0.63,0.282538,Ori,0.814469,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,fc4405bc2c092f48
15,right,Ceremony Center,Ceremony Center,49.260723,54.114352,0.75896,0.16,0.63,0.285829,Ori,0.748068,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.40Hz,6b7aa848b45dadca
16,forward,Ceremony Center,Ceremony Center,50.670857,54.445086,0.744,0.16,0.63,0.28912,Ori,0.805078,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,2e4c80ab5d508564
17,inspect,Ceremony Center,Ceremony Center,50.518047,53.81494,0.73704,0.16,0.63,0.290651,Ori,0.550109,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,e12ebc65ab154551
18,left,Ceremony Center,Ceremony Center,49.493308,53.514962,0.72208,0.16,0.63,0.293942,Ori,0.701426,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,e411f3955490c753
19,forward,Ceremony Center,Ceremony Center,50.423341,53.260461,0.70712,0.16,0.63,0.297234,Ori,0.852136,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,02a10f2f529e0cb7
20,ask,Ceremony Center,Ceremony Center,50.012931,54.483881,0.70016,0.16,0.63,0.298765,Ori,0.484054,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,91aced5dd5e21dd7
21,offer_help,Ceremony Center,Ceremony Center,50.339718,53.452128,0.6932,0.16,0.63,0.300296,Ori,0.644648,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.06Hz,afd38b15da9e6f11
22,back,Ceremony Center,Rainwalk Threshold,76.245646,71.257646,0.67614,0.51,0.48,0.332049,Vonn,31.411149,clear,sound=weather bells; smell=wet wool and river stone; temp=0.48; wet=0.51; pulse=2.47Hz,a0d20d87bd04becb
23,forward,Rainwalk Threshold,Ceremony Center,50.377219,53.247098,0.66118,0.16,0.63,0.30734,Ori,0.842114,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,37832564649b06d7
24,ceremony,Ceremony Center,Ceremony Center,49.543902,53.373059,0.65422,0.16,0.63,0.308872,Ori,0.775294,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.40Hz,6ea3f38ea2518263
25,wait,Ceremony Center,Ceremony Center,50.138163,53.612839,0.65926,0.16,0.63,0.307763,Ori,0.411075,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,32349ebb8c515238
26,forward,Ceremony Center,Ceremony Center,49.722439,54.268074,0.6443,0.16,0.63,0.311054,Ori,0.385881,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,3f903459aa64e0b6
27,right,Ceremony Center,Ceremony Center,49.449975,53.925378,0.62934,0.16,0.63,0.314345,Ori,0.555064,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.12Hz,24e1a5d5696f53e0
28,forward,Ceremony Center,Ceremony Center,49.561219,54.55672,0.61438,0.16,0.63,0.317636,Ori,0.708848,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.31Hz,2b6d556046d88d2c
29,inspect,Ceremony Center,Ceremony Center,50.296865,54.302571,0.60742,0.16,0.63,0.319168,Ori,0.423884,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.17Hz,ab1fcd38107bff0a
30,left,Ceremony Center,Ceremony Center,49.849483,53.545652,0.59246,0.16,0.63,0.322459,Ori,0.478631,clear,sound=shared consent rhythm; smell=flower resin and lamp wax; temp=0.63; wet=0.16; pulse=2.06Hz,48503e38a5bfed4f
