controller,ablation,mean_total_score,mean_maturation_score,mean_crisis_score,mean_resolved_rate,mean_env_response_rate,mean_social_response_rate,mean_coupled_response_rate,mean_crisis_damage,mean_final_alive,mean_alive_at_12h,mean_births,mean_architecture_tier,mean_tool_tier,mean_knowledge_transfer,mean_adaptation_evidence,shock_gate_pass_rate,post_gate_shock_rate
active_consequence_optimized_gru,none,0.4835702650104056,0.9299428173277029,0.0,0.06666666666666667,0.29934339774668506,0.09356636271529889,0.05952380952380953,2.4633240234954763,10.666666666666666,14.0,1.0,4.0,4.0,0.7753366501737414,1.0,1.0,1.0
active_consequence_value_gru,body,0.4778833672344933,0.9190064754509487,0.0,0.0,0.23434694246312157,0.15075475417614306,0.0,2.472209642411858,10.0,14.0,0.6666666666666666,3.0,4.0,0.9960061155230521,1.0,1.0,1.0
active_consequence_value_gru,environment,0.4844674828377864,0.9316682362265123,0.0,0.0,0.0,0.35756080947986546,0.0,1.731139539742328,11.0,14.0,1.6666666666666667,3.6666666666666665,4.0,1.0,1.0,1.0,1.0
active_consequence_value_gru,infrastructure,0.4097063989455058,0.7878969210490497,0.0,0.0,0.0,0.347059429544958,0.0,1.860614095782512,11.666666666666666,14.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0
active_consequence_value_gru,none,0.5011270704761904,0.9637059047619047,0.0,0.24444444444444446,0.2103144641332162,0.4202549814251942,0.0808626644405786,1.8575125943845574,12.333333333333334,14.0,2.6666666666666665,4.0,4.0,1.0,1.0,1.0,1.0
active_consequence_value_gru,previous_action,0.52,1.0,0.0,0.24444444444444446,0.3035082398139723,0.49215797942251394,0.10212386440775885,1.819226171863111,14.0,14.0,2.6666666666666665,3.3333333333333335,4.0,1.0,1.0,1.0,1.0
active_consequence_value_gru,social_culture,0.47311700127864526,0.9098403870743179,0.0,0.0,0.20858850067560117,0.0,0.0,2.8054429116698247,14.333333333333334,14.0,1.6666666666666667,3.0,1.0,1.0,1.0,1.0,1.0
active_consequence_value_gru,tools,0.2683747139364066,0.5161052191084742,0.0,0.0,0.0021231422505307855,0.2291801226069323,0.0014154281670205238,1.9787846607187225,0.0,14.0,0.0,1.0,4.0,0.6535889795624837,1.0,1.0,1.0
consequence_recovery_gru,none,0.52,1.0,0.0,0.35555555555555557,0.35511169006609733,1.0,0.35511169006609733,1.330733394411136,14.666666666666666,14.0,4.0,3.3333333333333335,4.0,0.6979499266972141,1.0,1.0,1.0
designed,none,0.8302458945704273,0.9564197333333334,0.6935575692439458,1.0,0.7204851805654275,0.6596510321163294,0.45142191221702577,0.16541784845003824,13.0,14.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0
fixed_joint_gru,none,0.5236029287446932,0.9873146666666667,0.021248545995888612,0.41111111111111115,0.4103133885798978,1.0,0.4103133885798978,1.453990143046081,12.333333333333334,14.0,3.0,3.6666666666666665,4.0,0.6324762898848374,1.0,1.0,1.0
frame_mlp,none,0.2869353300761778,0.5517987116849573,0.0,0.0,0.29934339774668506,0.0,0.0,1.6573065985882938,9.666666666666666,14.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0
gru,none,0.2901297755644507,0.5579418760854821,0.0,0.0,0.29934339774668506,0.0,0.0,1.6142901755513843,10.0,14.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0
min_channel_planner_gru,none,0.529425928294713,1.0,0.01963735061398546,0.41111111111111115,0.4103133885798978,1.0,0.4103133885798978,1.4233897262003963,13.0,14.0,3.6666666666666665,3.0,4.0,0.742666357839998,1.0,1.0,1.0
reactive,none,0.09018393563373968,0.17343064544949938,0.0,0.0,0.280355226067479,0.0,0.0,1.6553681564471188,0.3333333333333333,14.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
return_selected_gru,none,0.4871861643933953,0.9368964699872987,0.0,0.05555555555555555,0.29934339774668506,0.08448616515766537,0.03984295845997973,1.4547722731343573,11.666666666666666,14.0,0.3333333333333333,4.0,4.0,0.7351616892437381,1.0,1.0,1.0
