controller,ablation,mean_total_score,mean_maturation_score,mean_crisis_score,mean_resolved_rate,mean_env_response_rate,mean_social_response_rate,mean_coupled_response_rate,mean_crisis_damage,mean_final_alive,mean_alive_at_12h,mean_births,mean_architecture_tier,mean_tool_tier,mean_knowledge_transfer,mean_adaptation_evidence,shock_gate_pass_rate,post_gate_shock_rate
active_policy_gru,none,0.52,1.0,0.0,0.17777777777777778,0.26973495139574555,0.2286204277076056,0.147238931711276,2.264503737549232,15.0,14.0,2.6666666666666665,4.0,4.0,1.0,1.0,1.0,1.0
actor_critic_gru,body,0.4911945861008468,0.9446049732708593,0.0,0.0,0.17899569594292067,0.0,0.0,2.794281918516124,11.333333333333334,14.0,0.6666666666666666,3.0,4.0,1.0,1.0,1.0,1.0
actor_critic_gru,environment,0.52,1.0,0.0,0.0,0.0,0.49890112253963337,0.0,1.7243369780726683,24.666666666666668,14.0,13.0,3.0,4.0,1.0,1.0,1.0,1.0
actor_critic_gru,infrastructure,0.41229837953129067,0.7928814990986358,0.0,0.0,0.17899569594292067,0.0,0.0,2.762940890059351,13.666666666666666,14.0,3.0,4.0,0.0,0.3412121485537362,1.0,1.0,1.0
actor_critic_gru,none,0.504093824,0.9694112,0.0,0.0,0.17899569594292067,0.0,0.0,2.6620215089566504,12.333333333333334,14.0,2.3333333333333335,3.6666666666666665,4.0,0.9503778005573188,1.0,1.0,1.0
actor_critic_gru,previous_action,0.52,1.0,0.0,0.0,0.17899569594292067,0.0,0.0,2.700503775329277,14.666666666666666,14.0,3.0,3.0,4.0,0.9636441198094868,1.0,1.0,1.0
actor_critic_gru,social_culture,0.2817969104451164,0.5419171354713778,0.0,0.0,0.11530142842699713,0.0,0.0,2.575321696151782,0.0,14.0,0.0,2.0,0.6666666666666666,1.0,1.0,1.0,1.0
actor_critic_gru,tools,0.4864673459106708,0.93551412675129,0.0,0.0,0.17899569594292067,0.0,0.0,2.7975499207956864,11.666666666666666,14.0,2.0,3.0,4.0,0.5898081402087049,1.0,1.0,1.0
designed,none,0.7703955568308388,1.0,0.5216574100642474,1.0,0.0765198259816191,0.923480174018381,0.0,0.0524073998164361,14.0,14.0,2.3333333333333335,4.0,4.0,1.0,1.0,1.0,1.0
fixed_joint_gru,none,0.5943017629605518,1.0,0.15479533950114957,0.5888888888888889,0.5516270202348456,1.0,0.5516270202348456,1.3287282546664871,15.666666666666666,14.0,3.6666666666666665,4.0,4.0,1.0,1.0,1.0,1.0
frame_mlp,none,0.31458269964962504,0.6049667300954327,0.0,0.0,0.29934339774668506,0.0,0.0,2.604050261967762,12.333333333333334,14.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0
gru,none,0.32292327319542674,0.6210062946065898,0.0,0.0,0.29934339774668506,0.008503401360544218,0.008503401360544218,2.5791929457290776,11.333333333333334,14.0,0.3333333333333333,4.0,0.0,0.0746038359187468,1.0,1.0,1.0
reactive,none,0.10399880894589868,0.19999770951134363,0.0,0.0,0.20481452236674583,0.0,0.0,2.316648791443782,1.6666666666666667,14.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
return_selected_gru,none,0.5196716512741703,0.9993685601426351,0.0,0.1111111111111111,0.29934339774668506,0.37229542130806337,0.02760084925690021,2.041827090011732,13.666666666666666,14.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
