controller,ablation,mean_total_score,mean_maturation_score,mean_crisis_score,mean_resolved_rate,mean_env_response_rate,mean_social_response_rate,mean_coupled_response_rate,mean_crisis_damage,mean_final_alive,mean_alive_at_12h,mean_births,mean_architecture_tier,mean_tool_tier,mean_knowledge_transfer,mean_adaptation_evidence,shock_gate_pass_rate,post_gate_shock_rate
designed,none,0.7731740215566465,1.0,0.5274458782430135,1.0,0.07692307692307693,0.9230769230769231,0.0,0.035868919305675796,17.2,14.0,3.2,4.0,4.0,1.0,1.0,1.0,1.0
frame_mlp,none,0.32991530473270797,0.6344525091013613,0.0,0.0,0.25,0.0,0.0,1.8783355352905318,14.0,14.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0
gru,none,0.5192362239999999,0.9985312000000001,0.0,0.0,0.0,0.267948717948718,0.0,1.2327649353288412,15.4,14.0,1.4,3.2,4.0,1.0,1.0,1.0,1.0
joint_arbitration_gru,body,0.6643114402381205,1.0,0.30064883382941765,0.6,0.5378205128205128,1.0,0.5378205128205128,0.8578897788023964,16.8,14.0,2.8,3.6,4.0,1.0,1.0,1.0,1.0
joint_arbitration_gru,environment,0.52,1.0,0.0,0.0,0.0,1.0,0.0,1.1987170858746894,16.4,14.0,2.4,4.0,4.0,1.0,1.0,1.0,1.0
joint_arbitration_gru,infrastructure,0.6047701618250633,0.8416241799063151,0.34817830890370716,0.65,0.635897435897436,1.0,0.635897435897436,0.9364868829857451,16.6,14.0,2.6,4.0,0.0,0.06235845187789468,1.0,1.0,1.0
joint_arbitration_gru,none,0.7023386932742274,1.0,0.3798722776546403,0.65,0.6455128205128206,1.0,0.6455128205128206,0.8596689502907712,18.4,14.0,4.4,4.0,4.0,1.0,1.0,1.0,1.0
joint_arbitration_gru,previous_action,0.6761696201851382,0.9985312000000001,0.3269445753857045,0.65,0.5262820512820513,1.0,0.5262820512820513,0.8405612864437748,16.4,14.0,2.4,3.2,4.0,1.0,1.0,1.0,1.0
joint_arbitration_gru,social_culture,0.52,1.0,0.0,0.0,0.3301282051282051,0.0,0.0,1.405647372830233,16.8,14.0,2.8,3.8,4.0,1.0,1.0,1.0,1.0
joint_arbitration_gru,tools,0.6654667806296561,1.0,0.3030557929784504,0.55,0.49935897435897436,1.0,0.49935897435897436,0.7217819834315335,16.6,14.0,2.6,3.8,4.0,1.0,1.0,1.0,1.0
reactive,none,0.24020394999024508,0.4619306730581636,0.0,0.0,0.12243589743589745,0.0,0.0,1.8679809470955386,14.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
return_selected_gru,none,0.5192362239999999,0.9985312000000001,0.0,0.1,0.27692307692307694,0.31346153846153846,0.02692307692307692,1.3217387820097712,16.4,14.0,2.4,4.0,4.0,1.0,1.0,1.0,1.0
