controller,ablation,mean_total_score,mean_maturation_score,mean_crisis_score,mean_resolved_rate,mean_env_response_rate,mean_social_response_rate,mean_coupled_response_rate,mean_crisis_damage,mean_final_alive,mean_alive_at_12h,mean_births,mean_architecture_tier,mean_tool_tier,mean_knowledge_transfer,mean_adaptation_evidence,shock_gate_pass_rate,post_gate_shock_rate
active_policy_gru,none,0.52,1.0,0.0,0.17777777777777778,0.26973495139574555,0.2286204277076056,0.147238931711276,2.264503737549232,15.0,14.0,2.6666666666666665,4.0,4.0,1.0,1.0,1.0,1.0
designed,none,0.7703955568308388,1.0,0.5216574100642474,1.0,0.0765198259816191,0.923480174018381,0.0,0.0524073998164361,14.0,14.0,2.3333333333333335,4.0,4.0,1.0,1.0,1.0,1.0
fixed_joint_gru,none,0.7732232630767125,1.0,0.5275484647431511,0.7999999999999999,0.7949521670709211,1.0,0.7949521670709211,0.8740789108351702,15.666666666666666,14.0,3.6666666666666665,4.0,4.0,0.9943155801407637,1.0,1.0,1.0
frame_mlp,none,0.31458269964962504,0.6049667300954327,0.0,0.0,0.29934339774668506,0.0,0.0,2.604050261967762,12.333333333333334,14.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0
gru,none,0.32292327319542674,0.6210062946065898,0.0,0.0,0.29934339774668506,0.008503401360544218,0.008503401360544218,2.5791929457290776,11.333333333333334,14.0,0.3333333333333333,4.0,0.0,0.0746038359187468,1.0,1.0,1.0
memory_policy_gru,body,0.47961339382699547,0.922333449667299,0.0,0.0,0.17755659792037157,0.0,0.0,2.6809264822562597,11.333333333333334,14.0,0.0,3.0,4.0,1.0,1.0,1.0,1.0
memory_policy_gru,environment,0.52,1.0,0.0,0.0,0.0,0.4786471782551391,0.0,1.7464935950432678,19.0,14.0,7.333333333333333,3.3333333333333335,4.0,1.0,1.0,1.0,1.0
memory_policy_gru,infrastructure,0.35453037875528065,0.6817891899140012,0.0,0.0,0.17755659792037157,0.0,0.0,2.758321856212547,11.666666666666666,14.0,1.6666666666666667,4.0,0.0,0.11187134305647058,1.0,1.0,1.0
memory_policy_gru,none,0.5169868568143613,0.9942054938737717,0.0,0.0,0.17755659792037157,0.0,0.0,2.7154050589621654,13.0,14.0,2.3333333333333335,3.0,4.0,0.9503294989287604,1.0,1.0,1.0
memory_policy_gru,previous_action,0.5145409137869413,0.9895017572825795,0.0,0.0,0.17755659792037157,0.0,0.0,2.7803681163684026,14.333333333333334,14.0,2.6666666666666665,3.0,4.0,0.9578231472379416,1.0,1.0,1.0
memory_policy_gru,social_culture,0.25911990372637667,0.49830750716610894,0.0,0.0,0.12152822912604533,0.0,0.0,2.4762454433261074,0.0,14.0,0.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0
memory_policy_gru,tools,0.5037511436879399,0.9687521993998844,0.0,0.0,0.17755659792037157,0.0,0.0,2.734345205488673,13.333333333333334,14.0,2.0,3.0,4.0,0.8102127364270353,1.0,1.0,1.0
reactive,none,0.10399880894589868,0.19999770951134363,0.0,0.0,0.20481452236674583,0.0,0.0,2.316648791443782,1.6666666666666667,14.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
return_selected_gru,none,0.5196716512741703,0.9993685601426351,0.0,0.1111111111111111,0.29934339774668506,0.37229542130806337,0.02760084925690021,2.041827090011732,13.666666666666666,14.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
