controller,ablation,mean_total_score,mean_maturation_score,mean_crisis_score,mean_resolved_rate,mean_env_response_rate,mean_social_response_rate,mean_coupled_response_rate,mean_crisis_damage,mean_final_alive,mean_alive_at_12h,mean_births,mean_architecture_tier,mean_tool_tier,mean_knowledge_transfer,mean_adaptation_evidence,shock_gate_pass_rate,post_gate_shock_rate
consequence_recovery_gru,none,0.52,1.0,0.0,0.35555555555555557,0.35511169006609733,1.0,0.35511169006609733,1.330733394411136,14.666666666666666,14.0,4.0,3.3333333333333335,4.0,0.6979499266972141,1.0,1.0,1.0
designed,none,0.8302458945704273,0.9564197333333334,0.6935575692439458,1.0,0.7204851805654275,0.6596510321163294,0.45142191221702577,0.16541784845003824,13.0,14.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0
fixed_joint_gru,none,0.5236029287446932,0.9873146666666667,0.021248545995888612,0.41111111111111115,0.4103133885798978,1.0,0.4103133885798978,1.453990143046081,12.333333333333334,14.0,3.0,3.6666666666666665,4.0,0.6324762898848374,1.0,1.0,1.0
frame_mlp,none,0.2869353300761778,0.5517987116849573,0.0,0.0,0.29934339774668506,0.0,0.0,1.6573065985882938,9.666666666666666,14.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0
gru,none,0.2901297755644507,0.5579418760854821,0.0,0.0,0.29934339774668506,0.0,0.0,1.6142901755513843,10.0,14.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0
min_channel_planner_gru,none,0.529425928294713,1.0,0.01963735061398546,0.41111111111111115,0.4103133885798978,1.0,0.4103133885798978,1.4233897262003963,13.0,14.0,3.6666666666666665,3.0,4.0,0.742666357839998,1.0,1.0,1.0
mpc_sequence_distilled_gru,body,0.4766270580688283,0.9165904962862083,0.0,0.0,0.29934339774668506,0.004960920538428137,0.0017006802721088435,2.604700467849274,10.333333333333334,14.0,0.3333333333333333,4.0,4.0,0.7647936081564266,1.0,1.0,1.0
mpc_sequence_distilled_gru,environment,0.5145140228177675,0.9894500438803222,0.0,0.0,0.0,1.0,0.0,1.7295329672790876,14.666666666666666,14.0,2.6666666666666665,3.0,4.0,0.5653083588378636,1.0,1.0,1.0
mpc_sequence_distilled_gru,infrastructure,0.28957076008274546,0.556866846312972,0.0,0.0,0.26051923411999306,0.0,0.0,2.694735287497425,9.666666666666666,14.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0
mpc_sequence_distilled_gru,none,0.4571539706278065,0.8791422512073201,0.0,0.0,0.3028894970374652,0.0,0.0,2.6501888111932472,10.666666666666666,14.0,0.0,4.0,4.0,0.6163833402813056,1.0,1.0,1.0
mpc_sequence_distilled_gru,previous_action,0.5092539072773804,0.9793344370718854,0.0,0.0,0.2960861690296573,0.02323782880817322,0.0028368794326241137,2.371639787324314,13.333333333333334,14.0,0.3333333333333333,4.0,4.0,0.7693817813978289,1.0,1.0,1.0
mpc_sequence_distilled_gru,social_culture,0.45446355294079277,0.873968371039986,0.0,0.0,0.36231320327742605,0.0,0.0,2.5673363932716784,12.0,14.0,1.6666666666666667,4.0,1.0,1.0,1.0,1.0,1.0
mpc_sequence_distilled_gru,tools,0.2945412893078066,0.5664255563611665,0.0,0.0,0.0,0.7413002947937996,0.0,1.7230818772930014,0.0,14.0,0.0,1.0,4.0,0.01833177070552166,1.0,1.0,1.0
mpc_sequence_optimizer_gru,none,0.6833204255993607,0.9930373333333332,0.3477937755542235,0.6555555555555556,0.6448451802458346,0.850336717331374,0.5648851585626797,0.8045629726254601,14.0,14.0,2.3333333333333335,4.0,4.0,0.8375488457422736,1.0,1.0,1.0
reactive,none,0.09018393563373968,0.17343064544949938,0.0,0.0,0.280355226067479,0.0,0.0,1.6553681564471188,0.3333333333333333,14.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
return_selected_gru,none,0.4871861643933953,0.9368964699872987,0.0,0.05555555555555555,0.29934339774668506,0.08448616515766537,0.03984295845997973,1.4547722731343573,11.666666666666666,14.0,0.3333333333333333,4.0,4.0,0.7351616892437381,1.0,1.0,1.0
