controller,ablation,mean_total_score,mean_maturation_score,mean_crisis_score,mean_resolved_rate,mean_env_response_rate,mean_social_response_rate,mean_coupled_response_rate,mean_crisis_damage,mean_final_alive,mean_alive_at_12h,mean_births,mean_architecture_tier,mean_tool_tier,mean_knowledge_transfer,mean_adaptation_evidence,shock_gate_pass_rate,post_gate_shock_rate
consequence_recovery_gru,none,0.5119511596073191,0.9811270588235295,0.0036772687897578212,0.35555555555555557,0.3559620302021518,1.0,0.3559620302021518,1.391414830204323,13.333333333333334,14.0,3.6666666666666665,4.0,4.0,0.7783179518783948,1.0,1.0,1.0
designed,none,0.8302458945704273,0.9564197333333334,0.6935575692439458,1.0,0.7204851805654275,0.6596510321163294,0.45142191221702577,0.16541784845003824,13.0,14.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0
fixed_joint_gru,none,0.5235925713909774,0.9873146666666667,0.02122696817564722,0.41111111111111115,0.41102260843805377,1.0,0.41102260843805377,1.4497247484048614,12.333333333333334,14.0,3.0,3.6666666666666665,4.0,0.6324764194066989,1.0,1.0,1.0
frame_mlp,none,0.2869353300761778,0.5517987116849573,0.0,0.0,0.29934339774668506,0.0,0.0,1.6573065985882938,9.666666666666666,14.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0
gru,none,0.2901297755644507,0.5579418760854821,0.0,0.0,0.29934339774668506,0.0,0.0,1.6142901755513843,10.0,14.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0
min_channel_planner_gru,none,0.524004267324762,0.9873146666666667,0.022084668037698513,0.41111111111111115,0.41102260843805377,1.0,0.41102260843805377,1.4158563672641635,12.333333333333334,14.0,3.0,3.0,4.0,0.6523976965049941,1.0,1.0,1.0
mpc_sequence_optimizer_gru,body,0.6747770198045769,1.0,0.3224521245928688,0.6555555555555556,0.6216040479524692,0.8462119780378159,0.5310087399462654,0.8322931185084479,21.0,14.0,9.333333333333334,4.0,4.0,1.0,1.0,1.0,1.0
mpc_sequence_optimizer_gru,environment,0.52,1.0,0.0,0.0,0.0,0.8547512260539577,0.0,1.7264513253990195,25.333333333333332,14.0,14.0,4.0,4.0,1.0,1.0,1.0,1.0
mpc_sequence_optimizer_gru,infrastructure,0.6985625131385026,0.9129354188748485,0.4663251985907945,0.7111111111111111,0.6712217041128237,0.8962849082353275,0.6590319820388743,0.6704671321950734,13.666666666666666,14.0,2.3333333333333335,4.0,1.0,0.34872460173628456,1.0,1.0,1.0
mpc_sequence_optimizer_gru,none,0.6833204255993607,0.9930373333333332,0.3477937755542235,0.6555555555555556,0.6448451802458346,0.850336717331374,0.5648851585626797,0.8045629726254601,14.0,14.0,2.3333333333333335,4.0,4.0,0.8375488457422736,1.0,1.0,1.0
mpc_sequence_optimizer_gru,previous_action,0.6838611907706419,0.9934506666666666,0.3484725918832816,0.6555555555555556,0.6495283775524032,0.8531675736654151,0.5715564009404638,0.8126354500894575,14.333333333333334,14.0,2.3333333333333335,4.0,4.0,0.7602433535982346,1.0,1.0,1.0
mpc_sequence_optimizer_gru,social_culture,0.49005493333333333,0.9424133333333332,0.0,0.0,0.2861420332690153,0.0,0.0,2.0297251604415933,17.0,14.0,7.666666666666667,4.0,1.0,1.0,1.0,1.0,1.0
mpc_sequence_optimizer_gru,tools,0.6611080610670205,0.9507806438821232,0.347296096350659,0.6555555555555556,0.6326753251781808,0.8761559739765264,0.5945508243501584,0.8392122847834825,11.333333333333334,14.0,1.0,4.0,4.0,0.4892533137409412,1.0,1.0,1.0
reactive,none,0.09018393563373968,0.17343064544949938,0.0,0.0,0.280355226067479,0.0,0.0,1.6553681564471188,0.3333333333333333,14.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
return_selected_gru,none,0.4871861643933953,0.9368964699872987,0.0,0.05555555555555555,0.29934339774668506,0.08448616515766537,0.03984295845997973,1.4547722731343573,11.666666666666666,14.0,0.3333333333333333,4.0,4.0,0.7351616892437381,1.0,1.0,1.0
