controller,ablation,mean_total_score,mean_maturation_score,mean_crisis_score,mean_resolved_rate,mean_env_response_rate,mean_social_response_rate,mean_coupled_response_rate,mean_crisis_damage,mean_final_alive,mean_alive_at_12h,mean_births,mean_architecture_tier,mean_tool_tier,mean_knowledge_transfer,mean_adaptation_evidence,shock_gate_pass_rate,post_gate_shock_rate
designed,none,0.7682771237479213,0.9960704,0.5215010744748363,1.0,0.07651766872896333,0.9234823312710366,0.0,0.05285407292903928,13.6,14.0,2.2,4.0,4.0,1.0,1.0,1.0,1.0
fixed_joint_gru,none,0.6522779582843417,0.99696096,0.2788713730923786,0.6866666666666668,0.6303492398450097,1.0,0.6303492398450097,1.1810568957051228,15.2,14.0,3.2,3.8,4.0,1.0,1.0,1.0,1.0
frame_mlp,none,0.3129160372359328,0.6017616100691014,0.0,0.0,0.2799601968446953,0.0,0.0,2.7147978374947743,12.2,14.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0
gru,none,0.5171962177225838,0.9946081110049689,0.0,0.03333333333333333,0.0251063829787234,0.9472340425531914,0.005957446808510639,1.7472009061490918,14.2,14.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0
reactive,none,0.11704325473635832,0.2250831821853045,0.0,0.0,0.17901013908748212,0.0,0.0,2.4065381446669476,2.8,14.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
return_selected_gru,none,0.5196052841781476,0.9992409311118223,0.0,0.03333333333333333,0.0934896327415639,0.666016702113831,0.026326963906581742,1.8838053371399819,15.0,14.0,3.2,3.0,4.0,1.0,1.0,1.0,1.0
temporal_return_value_gru,body,0.5087019005947448,0.9782728857591246,0.0,0.17333333333333334,0.2007026005957336,0.20454113668776902,0.08486438348208236,2.2850093670001117,15.2,14.0,3.4,4.0,3.4,1.0,1.0,1.0,1.0
temporal_return_value_gru,environment,0.52,1.0,0.0,0.0,0.0,0.982229686562252,0.0,1.7692725729247634,14.8,14.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0
temporal_return_value_gru,infrastructure,0.4511120048032874,0.8675230861601682,0.0,0.21333333333333332,0.38724177731805554,0.29188462754664135,0.10008058813713858,2.168273388483599,13.8,14.0,3.0,4.0,0.0,0.19075248056231314,1.0,1.0,1.0
temporal_return_value_gru,none,0.517827648,0.9958224,0.0,0.27999999999999997,0.18225147112646387,0.46572374904698294,0.08519693688560938,1.7986712996757397,14.2,14.0,3.2,4.0,4.0,1.0,1.0,1.0,1.0
temporal_return_value_gru,previous_action,0.5027231570595032,0.9667753020375061,0.0,0.27999999999999997,0.16565085879859465,0.45624139749408366,0.07555375016248538,1.6647654255576214,12.0,14.0,1.2,3.8,4.0,1.0,1.0,1.0,1.0
temporal_return_value_gru,social_culture,0.5168840864883767,0.9940078586314935,0.0,0.0,0.37794363117248525,0.0,0.0,2.5695028450296418,20.0,14.0,9.8,4.0,3.6,1.0,1.0,1.0,1.0
temporal_return_value_gru,tools,0.5061795716528592,0.9734222531785754,0.0,0.31333333333333335,0.25287833279402017,0.277394748657018,0.12991689506809637,1.7915294489430842,12.6,14.0,2.4,4.0,4.0,0.9019519322932709,1.0,1.0,1.0
