controller,ablation,mean_total_score,mean_maturation_score,mean_crisis_score,mean_resolved_rate,mean_env_response_rate,mean_social_response_rate,mean_coupled_response_rate,mean_crisis_damage,mean_final_alive,mean_alive_at_12h,mean_births,mean_architecture_tier,mean_tool_tier,mean_knowledge_transfer,mean_adaptation_evidence,shock_gate_pass_rate,post_gate_shock_rate
designed,none,0.8716899660826591,1.0,0.732687429338873,1.0,0.7596153846153846,0.6762820512820513,0.48589743589743584,0.11503225317098567,17.6,14.0,3.6,4.0,4.0,1.0,1.0,1.0,1.0
frame_mlp,none,0.33058784583301976,0.6357458573711918,0.0,0.0,0.25,0.0,0.0,1.1696284262616197,14.0,14.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0
gru,none,0.517708672,0.9955936,0.0,0.0,0.0,0.22628205128205128,0.0,1.1649124366600137,15.2,14.0,1.2,3.2,4.0,1.0,1.0,1.0,1.0
reactive,none,0.23998988634873628,0.46151901220910824,0.0,0.0,0.31025641025641026,0.0,0.0,1.1261271835328348,14.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
return_selected_gru,body,0.517708672,0.9955936,0.0,0.05,0.4025641025641026,0.21217948717948718,0.0057692307692307696,1.1333130704457752,15.0,14.0,1.0,3.4,4.0,1.0,1.0,1.0,1.0
return_selected_gru,environment,0.5176693076634025,0.995517899352697,0.0,0.0,0.45256410256410257,0.05576923076923076,0.003205128205128205,1.1636564940453962,15.2,14.0,1.2,3.0,4.0,1.0,1.0,1.0,1.0
return_selected_gru,infrastructure,0.33139021742652786,0.6372888796663997,0.0,0.0,0.25,0.0,0.0,1.1240136469755917,14.0,14.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0
return_selected_gru,none,0.518472448,0.9970623999999999,0.0,0.1,0.22371794871794873,0.24807692307692308,0.01346153846153846,1.0680453583236542,15.6,14.0,1.6,3.6,4.0,1.0,1.0,1.0,1.0
return_selected_gru,previous_action,0.5192362239999999,0.9985312000000001,0.0,0.15,0.1717948717948718,0.3583333333333333,0.04807692307692307,0.9932117971799006,15.8,14.0,1.8,3.6,4.0,1.0,1.0,1.0,1.0
return_selected_gru,social_culture,0.52,1.0,0.0,0.0,0.0,1.0,0.0,1.1819519563088647,16.2,14.0,2.2,3.0,4.0,1.0,1.0,1.0,1.0
return_selected_gru,tools,0.5166104493838759,0.9934816334305305,0.0,0.0,0.0,0.0,0.0,1.1484980352170795,14.2,14.0,0.2,3.0,4.0,0.9989492109370914,1.0,1.0,1.0
