report,module,verdict,metric,value
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,freely_typed_input_acceptance,1.0
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,local_parser_confidence,0.889429
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,browser_world_state_coverage,1.0
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,local_storage_persistence_integrity,1.0
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,agent_goal_conflict_detection,1.0
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,goal_conflict_resolution_rate,1.0
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,schedule_simulation_integrity,1.0
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,relationship_memory_persistence,1.0
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,relationship_state_plausibility,1.0
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,sensory_body_state_binding,1.0
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,replay_export_coverage,1.0
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,replay_determinism,1.0
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,replay_order_integrity,1.0
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,browser_game_loop_trace_integrity,1.0
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,many_day_loop_span,1.0
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,private_workspace_boundary,1.0
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,browser_interactive_surface_available,1.0
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,frequency_flower_game_loop_rhythm,1.0
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,source_multiday_bridge_continuity,1.0
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,mean_game_loop_channel_score,0.99418
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,weakest_channel_score,0.889429
239,ssrm_3d_durable_post_entry_browser_game_loop_bridge,pass,durable_browser_game_loop_readiness,0.994928
