motion_id,tick_index,command,x,y,speed,energy,collision_state,nearest_agent
motion_001,1,east,46,54,0.016,0.9328,bounded_clear,sa63
motion_002,2,east,50,54,0.016,0.9256,bounded_clear,lo62
motion_003,3,north,50,50,0.016,0.9184,bounded_clear,lo62
motion_004,4,wait,50,50,0.0,0.9214,bounded_clear,lo62
motion_005,5,south,50,54,0.016,0.9142,bounded_clear,lo62
motion_006,6,west,46,54,0.016,0.907,bounded_clear,sa63
motion_007,7,listen,46,54,0.0,0.907,bounded_clear,sa63
motion_008,8,east,50,54,0.016,0.8998,bounded_clear,lo62
motion_009,9,south,50,58,0.016,0.8926,bounded_clear,lo62
motion_010,10,wait,50,58,0.0,0.8956,bounded_clear,lo62
motion_011,11,north,50,54,0.016,0.8884,bounded_clear,lo62
motion_012,12,approach,54,50,0.032,0.874,bounded_clear,lo62
motion_013,13,east,58,50,0.016,0.8668,bounded_clear,lo62
motion_014,14,east,62,50,0.016,0.8596,bounded_clear,lo62
motion_015,15,north,62,46,0.016,0.8524,bounded_clear,lo62
motion_016,16,wait,62,46,0.0,0.8554,bounded_clear,lo62
motion_017,17,south,62,50,0.016,0.8482,bounded_clear,lo62
motion_018,18,west,58,50,0.016,0.841,bounded_clear,lo62
motion_019,19,listen,58,50,0.0,0.841,bounded_clear,lo62
motion_020,20,east,62,50,0.016,0.8338,bounded_clear,lo62
motion_021,21,south,62,54,0.016,0.8266,bounded_clear,lo62
motion_022,22,wait,62,54,0.0,0.8296,bounded_clear,lo62
motion_023,23,north,62,50,0.016,0.8224,bounded_clear,lo62
motion_024,24,approach,62,50,0.032,0.8224,paused,lo62
motion_025,25,east,66,50,0.016,0.8152,bounded_clear,lo62
motion_026,26,east,70,50,0.016,0.808,bounded_clear,lo62
motion_027,27,north,70,46,0.016,0.8008,bounded_clear,lo62
motion_028,28,wait,70,46,0.0,0.8038,bounded_clear,lo62
motion_029,29,south,70,50,0.016,0.7966,bounded_clear,lo62
motion_030,30,west,66,50,0.016,0.7894,bounded_clear,lo62
motion_031,31,listen,66,50,0.0,0.7894,bounded_clear,lo62
motion_032,32,east,70,50,0.016,0.7822,bounded_clear,lo62
motion_033,33,south,70,54,0.016,0.775,bounded_clear,lo62
motion_034,34,wait,70,54,0.0,0.778,bounded_clear,lo62
motion_035,35,north,70,50,0.016,0.7708,bounded_clear,lo62
motion_036,36,approach,74,46,0.032,0.7564,bounded_clear,lo62
motion_037,37,east,78,46,0.016,0.7492,bounded_clear,lo62
motion_038,38,east,82,46,0.016,0.742,bounded_clear,lo62
motion_039,39,north,82,42,0.016,0.7348,bounded_clear,lo62
motion_040,40,wait,82,42,0.0,0.7378,bounded_clear,lo62
motion_041,41,south,82,46,0.016,0.7306,bounded_clear,lo62
motion_042,42,west,78,46,0.016,0.7234,bounded_clear,lo62
motion_043,43,listen,78,46,0.0,0.7234,bounded_clear,lo62
motion_044,44,east,82,46,0.016,0.7162,bounded_clear,lo62
motion_045,45,south,82,50,0.016,0.709,bounded_clear,lo62
motion_046,46,wait,82,50,0.0,0.712,bounded_clear,lo62
motion_047,47,north,82,46,0.016,0.7048,bounded_clear,lo62
motion_048,48,approach,82,46,0.032,0.7048,paused,lo62
motion_049,49,east,86,46,0.016,0.6976,bounded_clear,lo62
motion_050,50,east,90,46,0.016,0.6904,bounded_clear,lo62
motion_051,51,north,90,42,0.016,0.6832,bounded_clear,lo62
motion_052,52,wait,90,42,0.0,0.6862,bounded_clear,lo62
motion_053,53,south,90,46,0.016,0.679,bounded_clear,lo62
motion_054,54,west,86,46,0.016,0.6718,bounded_clear,lo62
motion_055,55,listen,86,46,0.0,0.6718,bounded_clear,lo62
motion_056,56,east,90,46,0.016,0.6646,bounded_clear,lo62
motion_057,57,south,90,50,0.016,0.6574,bounded_clear,lo62
motion_058,58,wait,90,50,0.0,0.6604,bounded_clear,lo62
motion_059,59,north,90,46,0.016,0.6532,bounded_clear,lo62
motion_060,60,approach,94,42,0.032,0.6388,bounded_clear,lo62
motion_061,61,east,94,42,0.016,0.6316,bounded_clear,lo62
motion_062,62,east,94,42,0.016,0.6244,bounded_clear,lo62
motion_063,63,north,94,38,0.016,0.6172,bounded_clear,lo62
motion_064,64,wait,94,38,0.0,0.6202,bounded_clear,lo62
motion_065,65,south,94,42,0.016,0.613,bounded_clear,lo62
motion_066,66,west,90,42,0.016,0.6058,bounded_clear,lo62
motion_067,67,listen,90,42,0.0,0.6058,bounded_clear,lo62
motion_068,68,east,94,42,0.016,0.5986,bounded_clear,lo62
motion_069,69,south,94,46,0.016,0.5914,bounded_clear,lo62
motion_070,70,wait,94,46,0.0,0.5944,bounded_clear,lo62
motion_071,71,north,94,42,0.016,0.5872,bounded_clear,lo62
motion_072,72,approach,94,38,0.032,0.5728,bounded_clear,lo62
