snapshot_id,tick_index,storage_key,world_rows,memory_rows,schedule_rows,replay_rows,byte_estimate,restore_verified
store_001,1,ssrm240_world_v0,1,1,1,4,554,True
store_002,2,ssrm240_world_v0,2,2,2,8,928,False
store_003,3,ssrm240_world_v0,3,3,2,12,1212,False
store_004,4,ssrm240_world_v0,4,3,2,16,1356,False
store_005,5,ssrm240_world_v0,5,4,2,20,1640,False
store_006,6,ssrm240_world_v0,6,4,2,24,1784,False
store_007,7,ssrm240_world_v0,7,4,2,28,1928,False
store_008,8,ssrm240_world_v0,8,4,2,32,2072,False
store_009,9,ssrm240_world_v0,9,4,2,36,2216,False
store_010,10,ssrm240_world_v0,10,5,2,40,2500,False
store_011,11,ssrm240_world_v0,11,5,2,44,2644,False
store_012,12,ssrm240_world_v0,12,5,2,48,2788,True
store_013,13,ssrm240_world_v0,13,5,2,52,2932,False
store_014,14,ssrm240_world_v0,14,5,2,56,3076,False
store_015,15,ssrm240_world_v0,15,6,2,60,3360,False
store_016,16,ssrm240_world_v0,16,6,2,64,3504,False
store_017,17,ssrm240_world_v0,17,6,2,68,3648,False
store_018,18,ssrm240_world_v0,18,6,2,72,3792,False
store_019,19,ssrm240_world_v0,19,6,2,76,3936,False
store_020,20,ssrm240_world_v0,20,7,3,80,4310,False
store_021,21,ssrm240_world_v0,21,7,3,84,4454,False
store_022,22,ssrm240_world_v0,22,7,3,88,4598,False
store_023,23,ssrm240_world_v0,23,7,3,92,4742,False
store_024,24,ssrm240_world_v0,24,7,3,96,4886,True
store_025,25,ssrm240_world_v0,25,8,4,100,5260,False
store_026,26,ssrm240_world_v0,26,8,4,104,5404,False
store_027,27,ssrm240_world_v0,27,8,4,108,5548,False
store_028,28,ssrm240_world_v0,28,8,4,112,5692,False
store_029,29,ssrm240_world_v0,29,8,4,116,5836,False
store_030,30,ssrm240_world_v0,30,9,5,120,6210,False
store_031,31,ssrm240_world_v0,31,9,5,124,6354,False
store_032,32,ssrm240_world_v0,32,9,5,128,6498,False
store_033,33,ssrm240_world_v0,33,9,5,132,6642,False
store_034,34,ssrm240_world_v0,34,9,5,136,6786,False
store_035,35,ssrm240_world_v0,35,10,5,140,7070,False
store_036,36,ssrm240_world_v0,36,10,5,144,7214,True
store_037,37,ssrm240_world_v0,37,10,5,148,7358,False
store_038,38,ssrm240_world_v0,38,10,5,152,7502,False
store_039,39,ssrm240_world_v0,39,10,5,156,7646,False
store_040,40,ssrm240_world_v0,40,11,5,160,7930,False
store_041,41,ssrm240_world_v0,41,11,5,164,8074,False
store_042,42,ssrm240_world_v0,42,11,5,168,8218,False
store_043,43,ssrm240_world_v0,43,11,5,172,8362,False
store_044,44,ssrm240_world_v0,44,11,5,176,8506,False
store_045,45,ssrm240_world_v0,45,12,5,180,8790,False
store_046,46,ssrm240_world_v0,46,12,5,184,8934,False
store_047,47,ssrm240_world_v0,47,12,5,188,9078,False
store_048,48,ssrm240_world_v0,48,12,5,192,9222,True
store_049,49,ssrm240_world_v0,49,12,5,196,9366,False
store_050,50,ssrm240_world_v0,50,13,6,200,9740,False
store_051,51,ssrm240_world_v0,51,13,6,204,9884,False
store_052,52,ssrm240_world_v0,52,13,6,208,10028,False
store_053,53,ssrm240_world_v0,53,13,6,212,10172,False
store_054,54,ssrm240_world_v0,54,13,6,216,10316,False
store_055,55,ssrm240_world_v0,55,14,7,220,10690,False
store_056,56,ssrm240_world_v0,56,14,7,224,10834,False
store_057,57,ssrm240_world_v0,57,14,7,228,10978,False
store_058,58,ssrm240_world_v0,58,14,7,232,11122,False
store_059,59,ssrm240_world_v0,59,14,7,236,11266,False
store_060,60,ssrm240_world_v0,60,15,8,240,11640,True
store_061,61,ssrm240_world_v0,61,15,8,244,11784,False
store_062,62,ssrm240_world_v0,62,15,8,248,11928,False
store_063,63,ssrm240_world_v0,63,15,8,252,12072,False
store_064,64,ssrm240_world_v0,64,15,8,256,12216,False
store_065,65,ssrm240_world_v0,65,16,8,260,12500,False
store_066,66,ssrm240_world_v0,66,16,8,264,12644,False
store_067,67,ssrm240_world_v0,67,16,8,268,12788,False
store_068,68,ssrm240_world_v0,68,16,8,272,12932,False
store_069,69,ssrm240_world_v0,69,16,8,276,13076,False
store_070,70,ssrm240_world_v0,70,17,8,280,13360,False
store_071,71,ssrm240_world_v0,71,17,8,284,13504,False
store_072,72,ssrm240_world_v0,72,17,8,288,13648,True
