controller,ablation,mean_maturation_score,mean_survival_score,mean_readiness_score,mean_development_score,mean_knowledge_score,mean_resilience_score,mean_final_alive,mean_alive_at_12h,mean_births,mean_deaths,mean_readiness_at_12h,mean_final_readiness,mean_readiness_delta,mean_final_pest_pressure,mean_final_structural_strain,mean_architecture_delta,mean_tool_system_delta,mean_knowledge_transfer,mean_adaptation_evidence,shock_gate_pass_rate,post_gate_shock_rate
designed,none,1.0,1.0,0.920949657882268,1.0,1.0,0.965636949939871,18.4,14.0,4.4,0.0,0.4095669788226802,0.999992,0.8633253333333334,0.0016059074337959709,0.011295537678747289,0.86,1.3635999999999997,1.0,1.0,1.0,1.0
frame_mlp,none,0.18518786776147755,0.0,0.2905772421982853,0.05379504285815785,0.08809207890865173,0.5033088246492958,0.0,14.0,0.0,14.0,0.2757925489173576,0.2988613492119881,0.16219468254532146,0.028269008645326645,0.5363299211223077,-0.14,-0.33066496622235697,0.01612957150406579,1.0,1.0,1.0
gru,body,0.5292300937721286,0.0,0.723347388770699,0.4285285365446567,1.0,0.6106722953234971,0.0,14.0,0.0,14.0,0.31548972584542534,0.7861345638479051,0.6494678971812384,0.0,0.8738270834104611,-0.14,0.8441891619177463,1.0,1.0,1.0,1.0
gru,environment,0.21717710568146703,0.0,0.39535469256225186,0.07421783235326715,0.07880460845419235,0.5268870869066802,0.0,14.0,0.0,14.0,0.32511956612945747,0.41232129085148417,0.27565462418481756,0.0,0.696586034562283,-0.14,-0.3322903199059893,0.0,1.0,1.0,1.0
gru,infrastructure,0.21957500870797989,0.0,0.4016793888281379,0.07540937807037391,0.08203508941777503,0.5275803637128222,0.0,14.0,0.0,14.0,0.3301131826186543,0.4189409892798551,0.2822743226131884,0.030039999262949986,0.65303072688155,-0.14,-0.331746187207033,0.0,1.0,1.0,1.0
gru,none,0.21800185159116023,0.0,0.4002280916915155,0.07503267774166636,0.08129693044364476,0.521850362032667,0.0,14.0,0.0,14.0,0.3340166717670224,0.41684820967592423,0.28018154300925757,0.0,0.7644507677570582,-0.14,-0.3316875548120955,0.0,1.0,1.0,1.0
gru,previous_action,0.4361604971749136,0.0,0.6769767762019162,0.19848886704393615,0.7905792642778092,0.5971978621845386,0.0,14.0,0.0,14.0,0.3141682494527511,0.7335908537007285,0.5969241870340619,0.009599363373735858,0.8699101336769619,-0.14,0.19541915699354417,0.5964067060863812,1.0,1.0,1.0
gru,readiness,0.21796164398298196,0.0,0.3995969046900486,0.0749559450202172,0.08053863831846861,0.5232278651242881,0.0,14.0,0.0,14.0,0.33145617924542237,0.41642191677898444,0.27975525011231783,0.0,0.7773021797090467,-0.14,-0.3317883235294876,0.0,1.0,1.0,1.0
gru,social_culture,0.2176025089800643,0.0,0.39989183256291566,0.07499512913309282,0.07840709375377646,0.522690601876343,0.0,14.0,0.0,14.0,0.33248979023350766,0.4166396062949601,0.27997293962829345,0.015183829505504115,0.7465343933401466,-0.14,-0.33191572538289515,0.0,1.0,1.0,1.0
gru,tools,0.21853062282660302,0.0,0.4008265042509892,0.07524457500901664,0.08297436032205145,0.5222636064057447,0.0,14.0,0.0,14.0,0.32964137540241156,0.41802541671675914,0.2813587500500926,0.0,0.780015922266251,-0.14,-0.3318220177674215,0.0,1.0,1.0,1.0
reactive,none,0.07068344547730773,0.0,0.007042183010865124,0.0006726079102524975,0.022400000000000003,0.36263777762583116,0.0,14.0,0.0,14.0,0.020637743665521506,0.003736710612513875,-0.13292995605415275,0.60804260176889,1.0,-0.14,-0.35440000000000005,0.0,1.0,1.0,1.0
