controller,ablation,mean_maturation_score,mean_survival_score,mean_development_score,mean_knowledge_score,mean_recovery_score,mean_final_alive,mean_alive_at_12h,mean_births,mean_deaths,mean_architecture_tier,mean_tool_tier,mean_knowledge_transfer,mean_adaptation_evidence,shock_gate_pass_rate,post_gate_shock_rate
designed,none,1.0,1.0,1.0,1.0,0.9591999999999998,17.8,14.0,3.8,0.0,4.0,4.0,1.0,1.0,1.0,1.0
frame_mlp,none,0.8471583893749394,1.0,0.9361599999999999,0.26683830704375333,0.9514518241206471,16.4,14.0,2.4,0.0,4.0,3.6,0.2502517023748303,1.0,1.0,1.0
gru,body,0.7163226282248178,1.0,0.58,0.05347170949732795,0.9579118613357357,16.2,14.0,2.2,0.0,4.0,0.0,0.025040211471035006,1.0,1.0,1.0
gru,environment,0.9823758452007632,1.0,0.98408135136892,0.8554261318790143,0.957402678284676,17.4,14.0,3.4,0.0,3.6,4.0,0.8652393503554897,1.0,1.0,1.0
gru,infrastructure,0.7150406491238546,1.0,0.58,0.053018907163921006,0.9513683359786265,16.2,14.0,2.2,0.0,4.0,0.0,0.025177890718828293,1.0,1.0,1.0
gru,none,1.0,1.0,0.9894755242729154,1.0,0.9591999999999998,16.4,14.0,2.4,0.0,3.6,4.0,1.0,1.0,1.0,1.0
gru,previous_action,1.0,1.0,0.9833076464536749,1.0,0.9591999999999998,17.2,14.0,3.2,0.0,3.4,4.0,1.0,1.0,1.0,1.0
gru,social_culture,1.0,1.0,0.971447112064649,1.0,0.9591999999999998,18.0,14.0,4.0,0.0,3.0,4.0,1.0,1.0,1.0,1.0
gru,tools,0.8049987502996963,1.0,0.9948857421489723,0.06291979572455586,0.9550447050156998,15.2,14.0,1.2,0.0,3.4,4.0,0.024989995191036306,1.0,1.0,1.0
reactive,none,0.4619017603898136,1.0,0.0,0.02943428813763107,0.7507326339897695,14.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
