schedule_id,day,time_s,agent_id,phase,location,planned_action,body_need_driver,object_dependency,interruption_policy,schedule_status,autonomously_advances,conflict_or_delay,catchup_result,saved_memory,frequency_hz,flower_node
sch-001,1,60.0,fayen,dawn,shade pause,check cups,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 1 dawn persisted,114.25,6
sch-002,1,243.0,fayen,work,shade pause,stage care kit,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 1 work persisted,116.5,7
sch-003,1,426.0,fayen,care,shade pause,ring posture bell,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 1 care persisted,118.75,8
sch-004,1,629.0,fayen,repair,shade pause,watch breath,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 1 repair persisted,121.0,9
sch-005,1,832.0,fayen,evening,shade pause,close shade pause,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 1 evening persisted,123.25,10
sch-006,1,60.0,ariq,dawn,bridge arc,inspect stone,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 1 dawn persisted,125.5,11
sch-007,1,243.0,ariq,work,bridge arc,hold chalk arc,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 1 work persisted,127.75,12
sch-008,1,426.0,ariq,care,bridge arc,test bridge edge,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 1 care persisted,130.0,1
sch-009,1,629.0,ariq,repair,bridge arc,pause for bell,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 1 repair persisted,132.25,2
sch-010,1,832.0,ariq,evening,bridge arc,log repair state,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 1 evening persisted,134.5,3
sch-011,1,60.0,nian,dawn,archive threshold,seal archive,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 1 dawn persisted,136.75,4
sch-012,1,243.0,nian,work,archive threshold,review wording,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 1 work persisted,139.0,5
sch-013,1,426.0,nian,care,archive threshold,correct public digest,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 1 care persisted,141.25,6
sch-014,1,629.0,nian,repair,archive threshold,guard threshold,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 1 repair persisted,143.5,7
sch-015,1,832.0,nian,evening,archive threshold,close flap,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 1 evening persisted,145.75,8
sch-016,1,60.0,roka,dawn,reed lane,check tied bundle,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 1 dawn persisted,148.0,9
sch-017,1,243.0,roka,work,reed lane,turn loose reeds,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 1 work persisted,150.25,10
sch-018,1,426.0,roka,care,reed lane,teach knot,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 1 care persisted,152.5,11
sch-019,1,629.0,roka,repair,reed lane,reset blue stone,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 1 repair persisted,154.75,12
sch-020,1,832.0,roka,evening,reed lane,store learner mat,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 1 evening persisted,157.0,1
sch-021,1,60.0,noro,dawn,knot board,count knots,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 1 dawn persisted,159.25,2
sch-022,1,243.0,noro,work,knot board,mark debt,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 1 work persisted,161.5,3
sch-023,1,426.0,noro,care,knot board,review timber,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 1 care persisted,163.75,4
sch-024,1,629.0,noro,repair,knot board,call repayment,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 1 repair persisted,166.0,5
sch-025,1,832.0,noro,evening,knot board,close public board,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 1 evening persisted,168.25,6
sch-026,2,960.0,fayen,dawn,shade pause,check cups,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 2 dawn persisted,170.5,7
sch-027,2,1143.0,fayen,work,shade pause,stage care kit,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 2 work persisted,172.75,8
sch-028,2,1326.0,fayen,care,shade pause,ring posture bell,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 2 care persisted,175.0,9
sch-029,2,1529.0,fayen,repair,shade pause,watch breath,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 2 repair persisted,177.25,10
sch-030,2,1732.0,fayen,evening,shade pause,close shade pause,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 2 evening persisted,179.5,11
sch-031,2,960.0,ariq,dawn,bridge arc,inspect stone,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 2 dawn persisted,181.75,12
sch-032,2,1143.0,ariq,work,bridge arc,hold chalk arc,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 2 work persisted,184.0,1
sch-033,2,1326.0,ariq,care,bridge arc,test bridge edge,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 2 care persisted,186.25,2
sch-034,2,1529.0,ariq,repair,bridge arc,pause for bell,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 2 repair persisted,188.5,3
sch-035,2,1732.0,ariq,evening,bridge arc,log repair state,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,ariq schedule day 2 evening persisted,190.75,4
sch-036,2,960.0,nian,dawn,archive threshold,seal archive,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 2 dawn persisted,193.0,5
sch-037,2,1143.0,nian,work,archive threshold,review wording,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 2 work persisted,195.25,6
sch-038,2,1326.0,nian,care,archive threshold,correct public digest,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 2 care persisted,197.5,7
sch-039,2,1529.0,nian,repair,archive threshold,guard threshold,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 2 repair persisted,199.75,8
sch-040,2,1732.0,nian,evening,archive threshold,close flap,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,nian schedule day 2 evening persisted,202.0,9
sch-041,2,960.0,roka,dawn,reed lane,check tied bundle,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 2 dawn persisted,204.25,10
sch-042,2,1143.0,roka,work,reed lane,turn loose reeds,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,False,none,on schedule,roka schedule day 2 work persisted,206.5,11
sch-043,2,1326.0,roka,care,reed lane,teach knot,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 2 care persisted,208.75,12
sch-044,2,1529.0,roka,repair,reed lane,reset blue stone,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 2 repair persisted,211.0,1
sch-045,2,1732.0,roka,evening,reed lane,store learner mat,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,roka schedule day 2 evening persisted,213.25,2
sch-046,2,960.0,noro,dawn,knot board,count knots,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 2 dawn persisted,215.5,3
sch-047,2,1143.0,noro,work,knot board,mark debt,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 2 work persisted,217.75,4
sch-048,2,1326.0,noro,care,knot board,review timber,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 2 care persisted,220.0,5
sch-049,2,1529.0,noro,repair,knot board,call repayment,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 2 repair persisted,222.25,6
sch-050,2,1732.0,noro,evening,knot board,close public board,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,noro schedule day 2 evening persisted,224.5,7
sch-051,3,1860.0,fayen,dawn,shade pause,check cups,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",active,True,none,on schedule,fayen schedule day 3 dawn persisted,226.75,8
