tick,agent_id,dominant_need,need_score,body_cost,relationship_modifier,object_modifier,chosen_tendency,private_workspace_digest
1,fayen,object,0.76,0.1839,0.53,0.76,plan_object_use,sealed:fayen:need-appraisal-1
1,ariq,object,0.69,0.315,0.38,0.69,plan_object_use,sealed:ariq:need-appraisal-1
1,nian,autonomy,0.5781,0.1827,0.13,0.44,avoid_avatar_keep_boundary,sealed:nian:need-appraisal-1
1,roka,object,0.71,0.1698,0.1,0.71,plan_object_use,sealed:roka:need-appraisal-1
2,fayen,object,0.76,0.1899,0.53,0.76,plan_object_use,sealed:fayen:need-appraisal-2
2,ariq,object,0.69,0.321,0.38,0.69,plan_object_use,sealed:ariq:need-appraisal-2
2,nian,autonomy,0.5781,0.1887,0.13,0.44,avoid_avatar_keep_boundary,sealed:nian:need-appraisal-2
2,roka,object,0.71,0.1758,0.1,0.71,plan_object_use,sealed:roka:need-appraisal-2
3,fayen,object,0.76,0.1959,0.53,0.76,plan_object_use,sealed:fayen:need-appraisal-3
3,ariq,object,0.69,0.327,0.38,0.69,plan_object_use,sealed:ariq:need-appraisal-3
3,nian,autonomy,0.5781,0.1947,0.13,0.44,avoid_avatar_keep_boundary,sealed:nian:need-appraisal-3
3,roka,object,0.71,0.1818,0.1,0.71,plan_object_use,sealed:roka:need-appraisal-3
4,fayen,object,0.76,0.2019,0.53,0.76,plan_object_use,sealed:fayen:need-appraisal-4
4,ariq,object,0.69,0.333,0.38,0.69,plan_object_use,sealed:ariq:need-appraisal-4
4,nian,autonomy,0.5781,0.2007,0.13,0.44,avoid_avatar_keep_boundary,sealed:nian:need-appraisal-4
4,roka,object,0.71,0.1878,0.1,0.71,plan_object_use,sealed:roka:need-appraisal-4
5,fayen,object,0.76,0.2079,0.53,0.76,plan_object_use,sealed:fayen:need-appraisal-5
5,ariq,object,0.69,0.339,0.38,0.69,plan_object_use,sealed:ariq:need-appraisal-5
5,nian,autonomy,0.5781,0.2067,0.13,0.44,avoid_avatar_keep_boundary,sealed:nian:need-appraisal-5
5,roka,object,0.71,0.1938,0.1,0.71,plan_object_use,sealed:roka:need-appraisal-5
6,fayen,object,0.76,0.2139,0.53,0.76,plan_object_use,sealed:fayen:need-appraisal-6
6,ariq,object,0.69,0.345,0.38,0.69,plan_object_use,sealed:ariq:need-appraisal-6
6,nian,autonomy,0.5781,0.2127,0.13,0.44,avoid_avatar_keep_boundary,sealed:nian:need-appraisal-6
6,roka,object,0.71,0.1998,0.1,0.71,plan_object_use,sealed:roka:need-appraisal-6
