report,module,verdict,metric,value
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,generational_agent_coverage,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,household_generation_coverage,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,proto_language_mutation_coverage,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,proto_language_semantic_stability,0.825
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,proto_language_adoption_growth,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,market_schedule_integrity,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,market_fairness,0.875857
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,market_dependency_binding,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,ritual_schedule_integrity,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,ritual_continuity,0.902
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,ritual_playable_observation,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,technology_schedule_binding,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,technology_rollback_safety,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,sensory_prompt_coverage,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,sensory_body_binding,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,playable_turn_coverage,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,private_workspace_boundary,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,pre_avatar_observer_integrity,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,avatar_entry_ceremony_integrity,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,avatar_threshold_dependency,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,ceremony_witness_coverage,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,sandbox_tick_trace_integrity,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,playable_browser_loop_available,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,frequency_flower_sandbox_rhythm,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,source_society_bridge_continuity,1.0
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,mean_sandbox_channel_score,0.984114
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,weakest_channel_score,0.825
235,ssrm_3d_playable_pre_avatar_civilization_sandbox_bridge,pass,playable_pre_avatar_sandbox_readiness,0.983172
