live_tick_id,day,tick,agent_id,utterance_id,route_id,interpretation_id,response_id,memory_id,consequence_id,session_id,phase,vibration_hz,tick_note
live_utt_day1_ka60,1,10,ka60,utt_day1_ka60,route_utt_day1_ka60,interp_utt_day1_ka60,resp_utt_day1_ka60,mem_utt_day1_ka60,conseq_mem_utt_day1_ka60,sess_utt_day1_ka60,seed,2.27,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day1_mu61,1,13,mu61,utt_day1_mu61,route_utt_day1_mu61,interp_utt_day1_mu61,resp_utt_day1_mu61,mem_utt_day1_mu61,conseq_mem_utt_day1_mu61,sess_utt_day1_mu61,vesica,2.5,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day1_lo62,1,16,lo62,utt_day1_lo62,route_utt_day1_lo62,interp_utt_day1_lo62,resp_utt_day1_lo62,mem_utt_day1_lo62,conseq_mem_utt_day1_lo62,sess_utt_day1_lo62,triad,2.73,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day1_sa63,1,19,sa63,utt_day1_sa63,route_utt_day1_sa63,interp_utt_day1_sa63,resp_utt_day1_sa63,mem_utt_day1_sa63,conseq_mem_utt_day1_sa63,sess_utt_day1_sa63,square,2.96,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day1_ni64,1,22,ni64,utt_day1_ni64,route_utt_day1_ni64,interp_utt_day1_ni64,resp_utt_day1_ni64,mem_utt_day1_ni64,conseq_mem_utt_day1_ni64,sess_utt_day1_ni64,pentad,3.19,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day2_ka60,2,25,ka60,utt_day2_ka60,route_utt_day2_ka60,interp_utt_day2_ka60,resp_utt_day2_ka60,mem_utt_day2_ka60,conseq_mem_utt_day2_ka60,sess_utt_day2_ka60,hexad,2.44,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day2_mu61,2,28,mu61,utt_day2_mu61,route_utt_day2_mu61,interp_utt_day2_mu61,resp_utt_day2_mu61,mem_utt_day2_mu61,conseq_mem_utt_day2_mu61,sess_utt_day2_mu61,flower,2.67,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day2_lo62,2,31,lo62,utt_day2_lo62,route_utt_day2_lo62,interp_utt_day2_lo62,resp_utt_day2_lo62,mem_utt_day2_lo62,conseq_mem_utt_day2_lo62,sess_utt_day2_lo62,fruit,2.9,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day2_sa63,2,34,sa63,utt_day2_sa63,route_utt_day2_sa63,interp_utt_day2_sa63,resp_utt_day2_sa63,mem_utt_day2_sa63,conseq_mem_utt_day2_sa63,sess_utt_day2_sa63,return,3.13,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
live_utt_day2_ni64,2,37,ni64,utt_day2_ni64,route_utt_day2_ni64,interp_utt_day2_ni64,resp_utt_day2_ni64,mem_utt_day2_ni64,conseq_mem_utt_day2_ni64,sess_utt_day2_ni64,seed,3.36,typed input -> route -> proto interpretation -> response -> memory -> multi-day consequence
