report,module,verdict,metric,value
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,pre_avatar_year_span,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,avatar_absence_integrity,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,avatar_gate_delay_integrity,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,mature_gate_readiness,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,household_epoch_coverage,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,market_exchange_density,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,market_fairness,0.875111
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,market_reciprocity_memory,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,ritual_continuity,0.892
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,household_ritual_coverage,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,proto_language_token_growth,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,proto_language_grounding,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,proto_language_stability,0.812
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,technology_lineage_depth,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,rollback_safety,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,culture_norm_persistence,0.84
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,culture_repair_path_coverage,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,sensory_ecology_binding,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,body_cost_environment_binding,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,frequency_flower_epoch_binding,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,society_tick_trace_integrity,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,source_bridge_continuity,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,browser_society_loop_available,1.0
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,mean_society_channel_score,0.974744
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,weakest_channel_score,0.812
234,ssrm_3d_pre_avatar_society_market_ritual_proto_language_epoch_bridge,pass,pre_avatar_society_readiness,0.974744
