controller,ablation,mean_maturation_score,mean_survival_score,mean_readiness_score,mean_development_score,mean_knowledge_score,mean_resilience_score,mean_final_alive,mean_alive_at_12h,mean_births,mean_deaths,mean_readiness_at_12h,mean_final_readiness,mean_readiness_delta,mean_final_pest_pressure,mean_final_structural_strain,mean_architecture_delta,mean_tool_system_delta,mean_knowledge_transfer,mean_adaptation_evidence,shock_gate_pass_rate,post_gate_shock_rate
behavior_gru,none,0.21578883805627114,0.0,0.39500908324085965,0.0741847745198951,0.07856415378959687,0.5198857698230571,0.0,14.0,0.0,14.0,0.32327963365817014,0.41213763622163935,0.27547096955497274,0.0,0.8062723598904913,-0.14,-0.3324173127237268,0.0,1.0,1.0,1.0
designed,none,1.0,1.0,0.9209553132704548,1.0,1.0,0.9667999999999999,17.8,14.0,3.8,0.0,0.40955313270454796,1.0,0.8633333333333335,0.0,0.0,0.86,1.3632960000000003,1.0,1.0,1.0,1.0
frame_mlp,none,0.18445899738175336,0.0,0.2863359540654929,0.052927491853998435,0.08141434987110463,0.5118143003103259,0.0,14.0,0.0,14.0,0.2757920528110451,0.2940416214111024,0.15737495474443577,0.00954295993110144,0.4796549740125374,-0.13991525856535109,-0.33055403762412777,0.0,1.0,1.0,1.0
reactive,none,0.06754208740868392,0.0,0.0068780650479433715,0.0006347344873160463,0.022400000000000003,0.3454466938873017,0.0,14.0,0.0,14.0,0.020637744681202518,0.003526302707311369,-0.13314036395935527,0.7989064072320119,1.0,-0.14,-0.35440000000000005,0.0,1.0,1.0,1.0
recovery_gru,none,0.47041154810451,1.0,0.33536928917178754,0.06980419768036812,0.10168026228799543,0.7760735400062676,14.0,14.0,0.0,0.0,0.2984590316897683,0.3471856659122849,0.2105189992456183,0.028047639903548287,0.3266477773948536,-0.015752018159051473,-0.1738363868274115,0.0,1.0,1.0,1.0
sequence_gru,body,0.46874825820839394,0.9142857142857143,0.3812060993646359,0.10912704286922917,0.09474750017258655,0.7729496034253585,12.8,14.0,0.0,1.2,0.3245203462033487,0.3963114372094329,0.25964477054276625,0.0,0.2930016084968123,0.10049457564380408,-0.022360096232677085,0.0,1.0,1.0,1.0
sequence_gru,environment,0.22063796146315565,0.0,0.36450509216547455,0.09683698946714625,0.08225785641000778,0.5590449134689515,0.0,14.0,0.0,14.0,0.31002694496441324,0.37897999735117416,0.2423133306845075,0.029469471435444438,0.13424850579112485,0.07891346710205453,-0.11583485259170556,0.0,1.0,1.0,1.0
sequence_gru,infrastructure,0.3220894247967448,0.0,0.4781355018158032,0.42798497575775435,0.08097378136215465,0.6043561343969801,0.0,14.0,0.0,14.0,0.3388096391633511,0.5048347021584865,0.36816803549181987,0.0357152688157392,0.004331332529334718,0.5085394466827006,0.31697640693324725,0.0,1.0,1.0,1.0
sequence_gru,none,0.28714817136064397,0.0,0.44241599728720005,0.30973429597451546,0.07961969665342364,0.5904573408459172,0.0,14.0,0.0,14.0,0.32869586496253256,0.46539364862607585,0.32872698195940925,0.035832665382513076,0.036,0.4481180743314754,0.061705950345140634,0.0,1.0,1.0,1.0
sequence_gru,previous_action,0.37247067842593157,0.0,0.533980148651471,0.5990549194172623,0.08077511140910429,0.6198913391148299,0.0,14.0,0.0,14.0,0.34623271748198486,0.5674509964809915,0.4307843298143249,0.030329753349617315,0.0,0.8034874857452362,0.47002012959335876,0.0,1.0,1.0,1.0
sequence_gru,readiness,0.5409192069020438,0.8,0.48100240170285513,0.44806805825392093,0.09818377401455419,0.8008645277791426,11.2,14.0,0.0,2.8,0.3343246651266524,0.5086021990797612,0.3719355324130947,0.0,0.0,0.718347263203492,0.12799750183964007,0.0,1.0,1.0,1.0
sequence_gru,social_culture,0.3904358952287391,0.27142857142857146,0.4656969584490412,0.4242906442818333,0.08669320100938922,0.6679183248267477,3.8,14.0,0.0,10.2,0.3397482858906308,0.4905933293863388,0.3539266627196721,0.0,0.0,0.520517867880024,0.3049079720621636,0.0,1.0,1.0,1.0
sequence_gru,tools,0.6259534231008532,1.0,0.514302696090601,0.5721641669506876,0.09720064876620786,0.8474213269243231,14.0,14.0,0.0,0.0,0.39739514018977284,0.5392763432632087,0.4026096765965422,0.0,0.07621212202904597,0.5978218901334789,0.6552040516990896,0.0,1.0,1.0,1.0
sequence_optimizer,none,1.0,1.0,0.9418722474521399,1.0,1.0,0.966575909002937,23.0,14.0,9.0,0.0,0.6187224745213981,1.0,0.8633333333333335,0.0,0.0024898999673671042,0.8597440000000001,1.3517600000000018,1.0,1.0,1.0,1.0
